情境,街廓,暫編地號,街角地,第1筆街角,街角側別,min_t,max_t,凸性Δ(㎡),寬度(m),臨街邊長(m),E-6差(m),判定
0m,R1,628-37(1),是,是,左側,1.272e-05,33.1628,0.000000,—,2.8261,—,街角·E-7待判（截角）
0m,R1,628-35(2),否,否,—,2.136e-05,33.1602,0.000000,18.1027,18.1027,4.478e-06,臨街(法定粒度內)
0m,R1,628(5),是,是,右側,2.475e-04,33.1300,0.000000,—,3.4643,—,街角·E-7待判（截角）
0m,R1,628-34(3),否,否,—,2.395e-04,33.1310,-0.000000,2.5959,2.5959,6.422e-07,臨街(法定粒度內)
0m,R1,628-36(1),否,否,—,1.845e-04,33.1384,0.000000,17.9953,17.9953,4.452e-06,臨街(法定粒度內)
0m,R2,628-41(1),是,是,左側,3.601e-06,44.9543,0.000000,—,2.1462,—,街角·E-7待判（截角）
0m,R2,628-42(1),否,否,—,3.597e-06,44.9320,-0.000000,0.1054,0.1054,3.746e-10,臨街(法定粒度內)
0m,R2,628-27(1),否,否,—,3.572e-06,44.9310,-0.000000,0.6488,0.6488,1.876e-09,臨街(法定粒度內)
0m,R2,628-40(1),否,否,—,3.322e-06,44.9246,0.000000,6.5461,6.5461,1.769e-08,臨街(法定粒度內)
0m,R2,628-43(1),否,否,—,3.322e-06,44.8609,0.000000,0.0060,0.0060,7.155e-12,臨街(法定粒度內)
0m,R2,628-30(2),否,否,—,3.248e-06,44.8609,0.000000,1.9369,1.9369,5.303e-09,臨街(法定粒度內)
0m,R2,628-39(1),否,否,—,3.051e-06,44.8420,0.000000,5.1450,5.1450,1.389e-08,臨街(法定粒度內)
0m,R2,628-31(2),否,否,—,2.718e-06,44.7920,0.000000,8.7529,8.7529,2.363e-08,臨街(法定粒度內)
0m,R2,628-35(1),否,否,—,0.000e+00,44.0269,0.000000,1.3389,1.3389,3.616e-09,臨街(法定粒度內)
0m,R2,628-34(1),否,否,—,5.112e-08,44.1223,0.000000,9.8039,9.8039,2.654e-08,臨街(法定粒度內)
0m,R2,628-49(1),否,否,—,4.254e-07,44.1367,0.000000,1.4831,1.4831,3.989e-09,臨街(法定粒度內)
0m,R2,628-50(1),否,否,—,4.819e-07,44.1692,0.000000,3.3335,3.3335,9.082e-09,臨街(法定粒度內)
0m,R2,628-51(1),否,否,—,6.092e-07,44.2014,-0.000000,3.3174,3.3174,9.015e-09,臨街(法定粒度內)
0m,R2,628-52(1),否,否,—,7.359e-07,44.2172,0.000000,1.6193,1.6193,4.375e-09,臨街(法定粒度內)
0m,R2,628-32(2),否,否,—,7.977e-07,44.3133,0.000000,9.8729,9.8729,2.670e-08,臨街(法定粒度內)
0m,R4,628(1),是,是,左側,-7.169e-03,33.1243,0.000000,—,43.2113,—,街角·E-7待判（截角）
0m,R4,628-1(1),是,是,右側,-1.483e-02,33.0893,0.000000,—,0.0000,—,街角·E-7待判（截角）
0m,R6,628(2),否,否,—,0.000e+00,47.5250,0.000000,0.1552,0.1552,8.384e-10,臨街(法定粒度內)
0m,R6,628-1(2),否,否,—,1.040e-08,47.5173,0.000000,3.0737,3.0737,1.670e-08,臨街(法定粒度內)
0m,R6,628-23(1),否,否,—,2.170e-07,47.3639,0.000000,1.5010,1.5010,8.133e-09,臨街(法定粒度內)
0m,R6,628-4(1),否,否,—,3.179e-07,47.2890,0.000000,14.7492,14.7492,7.992e-08,臨街(法定粒度內)
0m,R6,628-22(1),否,否,—,1.309e-06,46.5531,0.000000,3.2754,3.2754,1.778e-08,臨街(法定粒度內)
0m,R6,628-21(1),否,否,—,1.529e-06,46.3896,0.000000,4.5484,4.5484,2.471e-08,臨街(法定粒度內)
0m,R6,628-18(1),是,是,右側,5.284e-06,43.6015,0.000000,—,3.8197,—,街角·E-7待判（截角）
0m,R6,628-53(1),否,否,—,5.284e-06,43.6018,0.000000,0.0059,0.0059,2.109e-11,臨街(法定粒度內)
0m,R6,628-38(1),否,否,—,5.103e-06,43.7363,0.000000,2.6964,2.6964,1.466e-08,臨街(法定粒度內)
0m,R6,628-7(1),否,否,—,4.639e-06,44.0806,0.000000,6.8992,6.8992,3.737e-08,臨街(法定粒度內)
0m,R6,628-20(1),否,否,—,4.123e-06,44.4637,0.000000,7.6778,7.6778,4.160e-08,臨街(法定粒度內)
0m,R5,628-18(2),是,是,左側,-3.409e-07,43.6728,0.000000,—,2.9788,—,街角·E-7待判（截角）
0m,R5,628-53(2),否,否,—,-3.295e-07,43.6744,0.000000,0.0352,0.0352,5.008e-12,臨街(法定粒度內)
0m,R5,628-45(1),否,否,—,-3.294e-07,43.7299,0.000000,1.1749,1.1749,3.685e-10,臨街(法定粒度內)
0m,R5,628-7(2),否,否,—,-3.250e-07,43.9923,0.000000,5.5608,5.5608,1.983e-09,臨街(法定粒度內)
0m,R5,628-20(2),否,否,—,-3.038e-07,44.3041,0.000000,6.6075,6.6075,2.350e-09,臨街(法定粒度內)
0m,R5,628-30(1),否,否,—,-2.784e-07,44.3209,0.000000,0.3552,0.3552,3.199e-11,臨街(法定粒度內)
0m,R5,628-21(2),否,否,—,-2.771e-07,44.8191,0.000000,10.5587,10.5587,3.732e-09,臨街(法定粒度內)
0m,R5,628(3),否,否,—,-1.198e-08,47.7480,0.000000,3.1195,3.1195,9.310e-07,臨街(法定粒度內)
0m,R5,628-23(2),否,否,—,-4.593e-08,47.6008,0.000000,8.9377,8.9377,3.122e-09,臨街(法定粒度內)
0m,R5,628-22(2),否,否,—,-8.844e-08,47.1791,0.000000,11.0910,11.0910,3.939e-09,臨街(法定粒度內)
0m,R5,628-32(1),否,否,—,-8.873e-08,46.6557,0.000000,0.0677,0.0677,3.904e-11,臨街(法定粒度內)
0m,R5,628-31(1),否,否,—,-8.946e-08,46.6525,0.000000,0.2297,0.2297,8.481e-11,臨街(法定粒度內)
0m,R3,628(4),否,否,—,0.000e+00,43.7386,0.000000,1.0265,1.0265,1.140e-09,臨街(法定粒度內)
0m,R3,628-34(2),否,否,—,1.231e-08,43.8075,0.000000,5.7169,5.7169,6.310e-09,臨街(法定粒度內)
0m,R3,628-47(1),否,否,—,8.150e-08,43.8469,0.000000,3.2715,3.2715,3.559e-09,臨街(法定粒度內)
0m,R3,628-46(1),否,否,—,1.207e-07,43.8669,0.000000,1.6593,1.6593,1.875e-09,臨街(法定粒度內)
0m,R3,628-48(1),否,否,—,1.409e-07,43.9062,0.000000,3.2674,3.2674,3.485e-09,臨街(法定粒度內)
0m,R3,628-49(2),否,否,—,1.802e-07,43.9279,0.000000,1.8001,1.8001,2.015e-09,臨街(法定粒度內)
0m,R3,628-32(3),否,否,—,2.019e-07,44.0433,0.000000,9.5806,9.5806,1.068e-08,臨街(法定粒度內)
0m,R3,628-45(2),是,是,右側,7.655e-01,44.8922,0.000000,—,0.0000,—,街角·E-7待判（截角）
0m,R3,628-42(2),否,否,—,1.071e-06,44.8185,-0.000000,1.0624,1.0624,1.179e-09,臨街(法定粒度內)
0m,R3,628-27(2),否,否,—,1.064e-06,44.7955,0.000000,0.5792,0.5792,6.338e-10,臨街(法定粒度內)
0m,R3,628-28(1),否,否,—,1.047e-06,44.7886,0.000000,1.4186,1.4186,1.587e-09,臨街(法定粒度內)
0m,R3,628-29(1),否,否,—,1.029e-06,44.7715,0.000000,1.4234,1.4234,1.592e-09,臨街(法定粒度內)
0m,R3,628-30(3),否,否,—,9.094e-07,44.7543,0.000000,9.9572,9.9572,1.113e-08,臨街(法定粒度內)
0m,R3,628-31(3),否,否,—,8.064e-07,44.6344,0.000000,8.5417,8.5417,9.457e-09,臨街(法定粒度內)
