情境,歸戶鍵Gxxx,軌別,宗數,宗清單,公設宗數,公設面積(㎡),ΣG_戶(㎡),含旗標宗數,梯次,對應v3級,阻卻,路徑標註,持分和檢核,增配a′(㎡),差額地價(元)§52-1,放棄改領(元)§53-2,補償_本文式(元)§53-1,補償_但書式(元),估算性質,備註
3.5m,G001,建地軌,3,628-34(3);628-34(1);628-34(2),2,144.75,768.94,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G002,建地軌,1,628-39(1),1,93.66,236.54,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G003,公設軌,0,,11,1875.44,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G004,建地軌,1,628-52(1),1,126.12,71.6,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,42.47,3238167,4913291,,,半實算(試分配·非正式),
3.5m,G005,建地軌,2,628-18(1);628-18(2),1,97.46,508.57,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G006,建地軌,4,628-49(1);628-49(2);628-47(1);628-48(1),0,0.0,431.29,4,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G007,建地軌,7,628-20(1);628-20(2);628-45(1);628-45(2);628-30(2);628-30(1);628-30(3),5,846.24,1459.57,3,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G008,建地軌,1,628-4(1),1,141.01,692.05,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G009,建地軌,7,628-1(1);628-1(2);628(5);628(1);628(2);628(3);628(4),2,535.83,2548.23,4,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G010,建地軌,2,628-40(1);628-43(1),3,114.38,299.58,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G011,建地軌,2,628-42(1);628-42(2),2,605.37,90.34,2,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,23.73,1809317,6543659,,,半實算(試分配·非正式),
3.5m,G012,公設軌,0,,2,262.55,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G013,公設軌,0,,1,35.89,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G014,建地軌,2,628-28(1);628-29(1),0,0.0,128.68,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G015,公設軌,0,,1,203.24,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G016,公設軌,0,,3,2069.36,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G017,建地軌,6,628-22(1);628-22(2);628-21(1);628-21(2);628-23(1);628-23(2),2,12.84,1848.33,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G018,建地軌,1,628-51(1),0,0.0,146.59,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G019,建地軌,1,628-37(1),1,107.18,218.47,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G020,建地軌,1,628-50(1),0,0.0,147.18,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G021,建地軌,2,628-35(2);628-35(1),1,118.14,672.79,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G022,建地軌,2,628-7(1);628-7(2),2,1979.77,554.99,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G023,建地軌,1,628-41(1),2,241.65,183.24,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G024,公設軌,0,,1,12.32,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G025,建地軌,2,628-53(1);628-53(2),3,1151.56,1.79,2,3,現金補償(兩式),否,現金補償(兩式),✅,,,,231559,120180,半實算(試分配·非正式),
3.5m,G026,建地軌,3,628-32(2);628-32(1);628-32(3),2,262.78,861.58,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G027,建地軌,3,628-31(2);628-31(1);628-31(3),2,243.09,783.15,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G028,公設軌,0,,1,52.02,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G029,建地軌,1,628-36(1),1,99.45,575.74,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G030,建地軌,2,628-27(1);628-27(2),0,0.0,55.74,2,3,現金補償(兩式),否,現金補償(兩式),✅,,,,6902853,3657639,半實算(試分配·非正式),
3.5m,G031,公設軌,0,,1,206.72,0,0,—,公設地歸戶·待 F.3/F.4 調配,否,公設軌·達標門檻＝區標準 114.07(手冊(三))；½線測試延至 F.4 以 G(a′) 施作,✅,,,,,,待 F.4·G(a′) 未算前禁取補償值（停機條款）,
3.5m,G032,建地軌,1,628-38(1),3,370.63,118.61,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G033,建地軌,1,628-46(1),1,121.38,72.77,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,41.3,3148959,5270999,,,半實算(試分配·非正式),
