情境,原地號,暫編地號,所屬街廓,G(㎡),該側MinA(㎡),跨線併大側→,大側G(㎡)
3.5m,628-35,628-35(1),R2,58.95,153.65,628-35(2),613.84
3.5m,628,628(2),R6,7.37,156.06,628(1),1521.05
3.5m,628,628(3),R5,148.72,157.64,628(1),1521.05
3.5m,628,628(4),R3,44.9,152.74,628(1),1521.05
3.5m,628-34,628-34(3),R1,86.58,115.39,628-34(1),432.11
3.5m,628-42,628-42(1),R2,4.77,153.65,628-42(2),85.57
3.5m,628-42,628-42(2),R3,85.57,152.74,628-42(2),85.57
3.5m,628-27,628-27(1),R2,29.61,153.65,628-27(1),29.61
3.5m,628-27,628-27(2),R3,26.13,152.74,628-27(1),29.61
3.5m,628-30,628-30(2),R2,89.98,153.65,628-30(3),455.79
3.5m,628-30,628-30(1),R5,15.74,157.64,628-30(3),455.79
3.5m,628-31,628-31(1),R5,10.72,157.64,628-31(2),391.66
3.5m,628-49,628-49(1),R2,65.45,153.65,628-49(2),79.05
3.5m,628-49,628-49(2),R3,79.05,152.74,628-49(2),79.05
3.5m,628-32,628-32(1),R5,3.15,157.64,628-32(2),437.02
3.5m,628-1,628-1(2),R6,145.82,156.06,628-1(1),456.93
3.5m,628-23,628-23(1),R6,71.03,156.06,628-23(2),423.55
3.5m,628-22,628-22(1),R6,152.21,156.06,628-22(2),520.36
3.5m,628-53,628-53(1),R6,0.25,156.06,628-53(2),1.54
3.5m,628-53,628-53(2),R5,1.54,157.64,628-53(2),1.54
3.5m,628-45,628-45(1),R5,52.19,157.64,628-45(2),204.56
