情境,暫編地號,歸因,trunkA旗標,trunkB旗標
3.5m,628(2),因移除消失,有,
3.5m,628(3),沿用,有,有
3.5m,628(4),沿用,有,有
3.5m,628-1(2),沿用,有,有
3.5m,628-22(1),因移除消失,有,
3.5m,628-23(1),因移除消失,有,
3.5m,628-27(1),因移除消失,有,
3.5m,628-27(2),因移除消失,有,
3.5m,628-28(1),因移除消失,有,
3.5m,628-29(1),沿用,有,有
3.5m,628-30(1),因移除消失,有,
3.5m,628-30(2),沿用,有,有
3.5m,628-31(1),沿用,有,有
3.5m,628-32(1),沿用,有,有
3.5m,628-34(3),沿用,有,有
3.5m,628-35(1),沿用,有,有
3.5m,628-38(1),沿用,有,有
3.5m,628-42(1),沿用,有,有
3.5m,628-42(2),沿用,有,有
3.5m,628-43(1),因移除消失,有,
3.5m,628-45(1),因移除消失,有,
3.5m,628-46(1),沿用,有,有
3.5m,628-47(1),因移除消失,有,
3.5m,628-48(1),因合併脫旗,有,
3.5m,628-49(1),沿用,有,有
3.5m,628-49(2),因移除消失,有,
3.5m,628-50(1),沿用,有,有
3.5m,628-51(1),沿用,有,有
3.5m,628-52(1),沿用,有,有
3.5m,628-53(1),因移除消失,有,
3.5m,628-53(2),因移除消失,有,
