街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,66.0847,20.07,98.7,100.0
R1,2,66.517,16.85,100.0,100.0
R1,3,60.3553,30.33,100.0,81.48
R1,4,56.5346,35.53,100.0,70.0
R2,1,0.267,57.24,0.59,0.0
R2,2,9.3279,49.1,20.75,0.0
R2,3,19.6765,35.82,43.77,0.0
R2,4,19.8608,31.82,44.18,0.0
R2,5,19.8608,21.28,44.18,0.0
R2,6,19.8608,3.8,44.18,0.0
R2,7,19.8608,15.76,44.18,0.0
R2,8,19.8608,19.0,44.18,0.0
R2,9,19.8608,25.62,44.18,0.0
R2,10,19.8608,32.26,44.18,0.0
R2,11,19.8608,35.22,44.18,0.0
R2,12,19.8608,54.78,44.18,0.0
R2,13,19.8608,57.46,44.18,0.0
R3,0,19.7717,54.22,0.0,44.04
R3,1,19.7717,52.16,0.0,44.04
R3,2,19.7717,40.76,0.0,44.04
R3,3,19.7717,37.46,0.0,44.04
R3,4,19.7717,20.86,0.0,44.04
R3,5,19.7717,1.78,0.0,44.04
R3,6,19.7717,15.26,0.0,44.04
R3,7,17.7407,35.6,0.0,39.51
R3,8,13.4049,41.36,0.0,29.86
R3,9,4.5214,50.42,0.0,10.07
R4,1,63.2301,32.08,100.0,90.56
R5,1,10.4955,42.85,24.11,0.0
R5,2,19.1195,31.67,43.92,0.0
R5,3,20.1678,15.11,46.33,0.0
R5,4,20.1678,5.81,46.33,0.0
R5,5,20.1678,6.29,46.33,0.0
R5,6,20.1678,6.43,46.33,0.0
R5,7,20.1678,28.51,46.33,0.0
R5,8,20.1678,46.31,46.33,0.0
R5,9,20.1678,52.53,46.33,0.0
R6,0,43.3815,54.71,0.0,100.0
R6,1,43.3815,48.27,0.0,100.0
R6,2,43.3815,18.91,0.0,100.0
R6,3,43.3815,0.27,0.0,100.0
R6,4,43.3815,14.55,0.0,100.0
R6,5,36.6218,28.49,0.0,84.42
R6,6,31.6425,33.91,0.0,72.94
