暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-37(1),628-37,R1,a,457.0,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,左側,33.25,8.4,63.18,8.43,272.84,272.84,8.43,left,幾何二分法,15,✅,0.403,8.4,
628-35(2),628-35,R1,b,1255.0,2893.55,87.31,32.97,2.0429,0.0,1.0,否,否,—,33.25,30.37,36.82,22.04,730.8,730.8,30.47,left,幾何二分法,17,✅,0.4177,21.97,
74·G015@R1,74·G015,R1,74avg·R1,188.74,2893.55,87.31,32.97,1.8517,0.0,1.0,否,否,—,33.25,33.89,0.0,3.54,117.2,117.19,34.01,left,幾何二分法,14,✅,0.3791,3.53,
628(5),628,R1,a,553.9,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,右側,33.27,12.93,83.72,12.97,328.52,328.52,12.97,right,幾何二分法,15,✅,0.4069,12.93,
74·G020@R1,74·G020,R1,74avg·R1,222.97,2893.55,87.31,32.97,1.8517,0.0,1.0,否,否,—,33.27,16.97,13.59,4.05,134.33,134.33,17.02,right,幾何二分法,13,✅,0.3975,4.04,
74·G018@R1,74·G018,R1,74avg·R1,222.07,2893.55,87.31,32.97,1.8517,0.0,1.0,否,否,—,33.27,21.09,2.69,4.14,137.07,137.07,21.16,right,幾何二分法,16,✅,0.3828,4.13,
74·G004@R1,74·G004,R1,74avg·R1,222.97,2893.55,87.31,32.97,1.8517,0.0,1.0,否,否,—,33.27,25.25,0.0,4.18,138.44,138.44,25.34,right,幾何二分法,16,✅,0.3791,4.17,
74·G031@R1,74·G031,R1,74avg·R1,188.68,2893.55,87.31,32.97,1.8517,0.0,1.0,否,否,—,33.27,28.77,0.0,3.54,117.15,117.15,28.88,right,幾何二分法,16,✅,0.3791,3.53,
628-36(1),628-36,R1,a,1047.0,2893.55,87.31,32.97,1.7364,0.0,1.0,否,否,—,33.27,48.88,0.0,20.18,668.82,668.82,49.06,right,幾何二分法,15,✅,0.3612,20.11,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,242.92,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
