情境,段,歸戶,源,源塊,目標宗,目標塊,級別,起迄距(m),a源(㎡),模式一a′(㎡),模式二a′(㎡),a″引擎(㎡),配額G(㎡),處置
3.5m,E0級1,G007,628-30(2),R2,628-45(2),R3,級1(同歸戶),,150.3,150.3,149.85,150.3,,併入(§7-1級1)
3.5m,E0級1,G011,628-42(1),R2,628-42(2),R3,級1(同歸戶),,8.34,8.34,8.31,8.34,,併入(§7-1級1)
3.5m,E0級1,G006,628-49(1),R2,628-48(1),R3,級1(同歸戶),,109.39,109.39,109.06,109.39,,併入(§7-1級1)
3.5m,E1·7-4,G003,公設群(11筆),G1,74·G003@R1,R1,級3非鄰近,152.2,342.02,—(無同歸戶目標地),310.0,310.0,192.48,7-4 配地(模式二)
3.5m,E1·7-4,G003,公設群(11筆),G1,74·G003@R2,R2,級1相鄰,128.2,412.66,—(無同歸戶目標地),412.66,412.66,246.98,7-4 配地(模式二)
3.5m,E1·7-4,G003,公設群(11筆),G1,74·G003@R5,R5,級1相鄰,65.7,1127.32,—(無同歸戶目標地),1116.05,1116.05,655.23,7-4 配地(模式二)
3.5m,E1·7-4,G012,公設群(2筆),G1,74·G012@R2,R2,級1相鄰,188.2,261.0,—(無同歸戶目標地),261.0,261.0,156.21,7-4 配地(模式二)
3.5m,E1·7-4,G016,公設群(3筆),G1,74·G016@R1,R1,級3非鄰近,184.1,376.46,—(無同歸戶目標地),341.23,341.23,206.94,7-4 配地(模式二)
3.5m,E1·7-4,G016,公設群(3筆),G1,74·G016@R2,R2,級1相鄰,168.3,454.22,—(無同歸戶目標地),454.22,454.22,271.83,7-4 配地(模式二)
3.5m,E1·7-4,G016,公設群(3筆),G1,74·G016@R5,R5,級1相鄰,91.2,1240.86,—(無同歸戶目標地),1228.45,1228.45,720.7,7-4 配地(模式二)
3.5m,E1·7-4,G025,公設群(3筆),G1,74·G025@R1,R1,級3非鄰近,144.0,381.18,—(無同歸戶目標地),345.5,345.5,214.52,7-4 配地(模式二)
3.5m,E1·7-4,G025,公設群(3筆),G1,74·G025@R2,R2,級1相鄰,100.1,459.91,—(無同歸戶目標地),459.91,459.91,275.22,7-4 配地(模式二)
3.5m,E1·7-4,G025,公設群(3筆),G1,74·G025@R3,R3,級1相鄰,37.9,309.69,—(無同歸戶目標地),308.76,308.76,178.99,7-4 配地(模式二)
3.5m,E2·7-5,G014,628-29(1),R3,74·G014@R4,R4,7-5批次最佳化,118.4,228.0,—,193.8,193.8,123.8,7-5 配地
3.5m,E2·7-5,G033,628-46(1),R3,74·G033@R2,R2,7-5批次最佳化,57.5,246.0,—,246.0,262.26,156.94,7-5 增配
3.5m,E2·7-5,G020,628-50(1),R2,74·G020@R4,R4,7-5批次最佳化,144.7,246.0,—,209.1,209.1,133.57,7-5 配地
3.5m,E2·7-5,G018,628-51(1),R2,74·G018@R4,R4,7-5批次最佳化,145.2,245.0,—,208.25,208.25,133.03,7-5 配地
3.5m,E2·7-5,G004,628-52(1),R2,74·G004@R3,R3,7-5批次最佳化,83.8,246.0,—,245.26,267.6,156.25,7-5 增配
3.5m,E2·7-5,G031,公設群餘量,G1,74·G031@R1,R1,7-5批次最佳化,138.3,207.0,—,187.62,188.69,117.16,7-5 增配
3.5m,E2·7-5,G015,公設群餘量,G1,74·G015@R4,R4,7-5批次最佳化,123.6,203.0,—,172.55,182.71,116.71,7-5 增配
