暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-36(1),628-36,R1,a,947.97,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,左側,33.25,17.57,98.89,17.63,578.02,578.02,17.63,left,幾何二分法,17,✅,0.3903,17.57,
628-35(2),628-35,R1,b,1039.0,2893.55,87.31,32.97,2.0243,0.0,1.0,否,否,—,33.25,36.12,1.12,18.61,616.9,616.89,36.24,left,幾何二分法,16,✅,0.4063,18.55,
628(5),628,R1,a,382.91,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,右側,33.27,9.8,70.12,9.83,224.34,224.34,9.83,right,幾何二分法,17,✅,0.4141,9.8,
628-34(3),628-34,R1,b,152.34,2893.55,87.31,32.97,2.0243,0.0,1.0,否,否,—,33.27,12.42,11.53,2.63,87.01,87.01,12.46,right,幾何二分法,16,✅,0.4288,2.62,⚠️移出/第1調配順位
628-37(1),628-37,R1,a,350.76,2893.55,87.31,32.97,1.7206,0.0,1.0,否,否,—,33.27,19.02,18.32,6.62,219.39,219.39,19.08,right,幾何二分法,17,✅,0.3745,6.6,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1162.39,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.3,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628-42(1),628-42,R2,b,8.34,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,7.13,0.56,0.1,4.67,4.67,7.14,left,幾何二分法,18,✅,0.44,0.1,⚠️移出/第1調配順位
628-41(1),628-41,R2,b,319.3,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,11.11,19.79,3.99,179.36,179.36,11.13,left,幾何二分法,17,✅,0.4383,3.98,
628-27(1),628-27,R2,b,51.32,4368.6,100.03,43.9,1.923,2.0,1.0,否,否,—,44.95,11.75,2.77,0.65,28.99,28.99,11.78,left,幾何二分法,18,✅,0.4351,0.65,⚠️移出/第1調配順位
