情境,暫編地號,街廓,面積,臨正街長,臨左側街長,臨右側街長,非路邊界長(屁股/分區/截角),內部切長,裁決
0m,R1-抵費地-1,R1,1162.41,35.07,0.0,0.0,35.07,66.51,臨路
0m,R1-抵費地-2,R1,5.3,0.0,29.63,0.0,0.32,29.64,臨路
0m,R2-抵費地,R2,1853.93,41.65,0.0,0.0,41.68,89.24,臨路
0m,R4-抵費地,R4,1222.05,36.91,0.0,0.0,36.91,66.28,臨路
0m,R6-抵費地-1,R6,1657.92,36.59,0.0,0.0,36.49,90.92,臨路
0m,R6-抵費地-2,R6,85.66,0.0,0.0,0.0,51.29,47.67,不臨路
0m,R5-抵費地,R5,1693.09,37.02,0.0,0.0,36.9,91.86,臨路
0m,R3-抵費地-1,R3,1639.36,37.03,0.0,0.0,36.99,88.93,臨路
0m,R3-抵費地-2,R3,78.19,0.0,0.0,41.42,3.87,41.84,臨路
3.5m,R1-抵費地-1,R1,1162.39,35.07,0.0,0.0,35.07,66.5,臨路
3.5m,R1-抵費地-2,R1,5.3,0.0,29.63,0.0,0.32,29.64,臨路
3.5m,R2-抵費地-1,R2,1595.18,35.86,0.0,0.0,35.89,89.19,臨路
3.5m,R2-抵費地-2,R2,233.74,3.49,41.41,0.0,8.65,45.03,臨路
3.5m,R4-抵費地,R4,1222.05,36.91,0.0,0.0,36.91,66.28,臨路
3.5m,R6-抵費地-1,R6,1657.92,36.59,0.0,0.0,36.49,90.92,臨路
3.5m,R6-抵費地-2,R6,85.66,0.0,0.0,0.0,51.29,47.67,不臨路
3.5m,R5-抵費地-1,R5,1457.15,31.77,0.0,0.0,31.67,92.11,臨路
3.5m,R5-抵費地-2,R5,212.79,3.21,39.98,0.0,8.37,43.87,臨路
3.5m,R3-抵費地-1,R3,1306.1,29.53,0.0,0.0,29.5,88.84,臨路
3.5m,R3-抵費地-2,R3,389.8,3.57,0.0,41.42,15.46,44.96,臨路
