街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,66.1453,20.17,98.88,100.0
R1,2,66.517,16.93,100.0,100.0
R1,3,60.4219,30.47,100.0,81.68
R1,4,56.5825,35.71,100.0,70.14
R2,1,0.2428,56.81,0.54,0.0
R2,2,9.1346,48.85,20.32,0.0
R2,3,10.3911,47.55,23.11,0.0
R2,4,19.8608,34.53,44.18,0.0
R2,5,19.8608,34.51,44.18,0.0
R2,6,19.8608,30.57,44.18,0.0
R2,7,19.8608,20.25,44.18,0.0
R2,8,19.8608,3.13,44.18,0.0
R2,9,19.8608,16.17,44.18,0.0
R2,10,19.8608,19.35,44.18,0.0
R2,11,19.8608,25.83,44.18,0.0
R2,12,19.8608,32.33,44.18,0.0
R2,13,19.8608,35.23,44.18,0.0
R2,14,19.8608,54.39,44.18,0.0
R2,15,19.8608,57.01,44.18,0.0
R3,0,19.7717,56.49,0.0,44.04
R3,1,19.7717,54.39,0.0,44.04
R3,2,19.7717,42.67,0.0,44.04
R3,3,19.7717,35.95,0.0,44.04
R3,4,19.7717,32.55,0.0,44.04
R3,5,19.7717,25.83,0.0,44.04
R3,6,19.7717,22.15,0.0,44.04
R3,7,19.7717,2.49,0.0,44.04
R3,8,19.7717,15.07,0.0,44.04
R3,9,18.9065,36.07,0.0,42.11
R3,10,16.9356,39.05,0.0,37.72
R3,11,8.9942,48.45,0.0,20.03
R3,12,5.953,51.37,0.0,13.26
R3,13,4.6599,52.57,0.0,10.38
R4,1,63.288,32.21,100.0,90.74
R5,1,0.0992,53.72,0.23,0.0
R5,2,10.8511,43.74,24.93,0.0
R5,3,13.0006,41.32,29.87,0.0
R5,4,20.1678,29.74,46.33,0.0
R5,5,20.1678,15.88,46.33,0.0
R5,6,20.1678,15.16,46.33,0.0
R5,7,20.1678,5.72,46.33,0.0
R5,8,20.1678,6.2,46.33,0.0
R5,9,20.1678,6.34,46.33,0.0
R5,10,20.1678,29.1,46.33,0.0
R5,11,20.1678,47.44,46.33,0.0
R5,12,20.1678,53.8,46.33,0.0
R6,0,43.3815,52.59,0.0,100.0
R6,1,43.3815,52.29,0.0,100.0
R6,2,43.3815,46.39,0.0,100.0
R6,3,43.3815,43.53,0.0,100.0
R6,4,43.3815,15.51,0.0,100.0
R6,5,43.3815,9.29,0.0,100.0
R6,6,43.3815,0.65,0.0,100.0
R6,7,43.3815,14.03,0.0,100.0
R6,8,35.8331,27.29,0.0,82.6
R6,9,30.9839,32.45,0.0,71.42
R6,10,30.964,32.47,0.0,71.38
