街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,66.1453,20.17,98.88,100.0
R1,2,66.517,16.93,100.0,100.0
R1,3,60.4219,30.47,100.0,81.68
R1,4,56.5825,35.71,100.0,70.14
R2,1,0.2428,56.05,0.54,0.0
R2,2,9.1346,48.09,20.32,0.0
R2,3,19.396,35.09,43.15,0.0
R2,4,19.8608,31.17,44.18,0.0
R2,5,19.8608,20.85,44.18,0.0
R2,6,19.8608,3.73,44.18,0.0
R2,7,19.8608,15.41,44.18,0.0
R2,8,19.8608,18.59,44.18,0.0
R2,9,19.8608,25.07,44.18,0.0
R2,10,19.8608,31.57,44.18,0.0
R2,11,19.8608,34.47,44.18,0.0
R2,12,19.8608,53.63,44.18,0.0
R2,13,19.8608,56.25,44.18,0.0
R3,0,19.7717,55.86,0.0,44.04
R3,1,19.7717,53.76,0.0,44.04
R3,2,19.7717,42.04,0.0,44.04
R3,3,19.7717,38.64,0.0,44.04
R3,4,19.7717,21.54,0.0,44.04
R3,5,19.7717,1.88,0.0,44.04
R3,6,19.7717,15.68,0.0,44.04
R3,7,18.1313,36.66,0.0,40.38
R3,8,13.7461,42.6,0.0,30.62
R3,9,4.6599,51.94,0.0,10.38
R4,1,63.288,32.21,100.0,90.74
R5,1,10.7763,44.1,24.76,0.0
R5,2,19.4817,32.58,44.75,0.0
R5,3,20.1678,15.52,46.33,0.0
R5,4,20.1678,6.0,46.33,0.0
R5,5,20.1678,6.48,46.33,0.0
R5,6,20.1678,6.62,46.33,0.0
R5,7,20.1678,29.38,46.33,0.0
R5,8,20.1678,47.72,46.33,0.0
R5,9,20.1678,54.08,46.33,0.0
R6,0,43.3815,52.29,0.0,100.0
R6,1,43.3815,46.09,0.0,100.0
R6,2,43.3815,18.11,0.0,100.0
R6,3,43.3815,0.37,0.0,100.0
R6,4,43.3815,13.75,0.0,100.0
R6,5,35.8158,27.01,0.0,82.56
R6,6,30.964,32.17,0.0,71.38
