暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-36(1),628-36,R1,a,947.97,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,左側,33.25,17.57,98.89,17.63,578.02,578.02,17.63,left,幾何二分法,17,✅,0.3903,17.57,
628(5),628,R1,a,382.91,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,右側,33.27,9.8,70.12,9.83,224.35,224.34,9.83,right,幾何二分法,14,✅,0.4141,9.8,
628-37(1),628-37,R1,a,350.76,2893.55,87.31,32.97,1.7206,0.0,1.0,否,否,—,33.27,16.34,25.27,6.56,217.29,217.29,16.39,right,幾何二分法,17,✅,0.3805,6.54,
628-35(2),628-35,R1,b,1137.54,2893.55,87.31,32.97,2.0243,0.0,1.0,否,否,—,33.27,36.63,4.58,20.35,674.38,674.39,36.74,right,幾何二分法,15,✅,0.4072,20.28,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1194.02,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.3,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,2975.71,3207.87,98.89,32.59,1.7206,0.0,1.0,是,是,左側,33.27,57.64,100.0,57.7,1877.97,1877.96,57.7,left,幾何二分法,16,✅,0.3689,57.64,
628-1(1),628-1,R4,a,757.92,3207.87,98.89,32.59,1.7206,0.0,1.0,是,是,右側,33.08,14.85,90.76,14.86,458.73,458.74,14.86,right,幾何二分法,16,✅,0.3947,14.84,
R4-抵費地,—,R4,—,0.0,3207.87,98.89,32.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,871.1,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-4(1),628-4,R6,b,1154.0,3976.3,85.85,44.59,2.0243,2.0,0.0,否,否,—,0.0,0.0,0.0,13.99,660.11,660.12,13.99,left,幾何二分法,16,✅,0.428,13.94,
628-21(1),628-21,R6,b,723.48,3976.3,85.85,44.59,2.0243,2.0,0.0,否,否,—,0.0,0.0,0.0,8.88,413.65,413.66,22.87,left,幾何二分法,15,✅,0.4282,8.85,
628-18(1),628-18,R6,b,551.09,3976.3,85.85,44.59,2.0243,2.0,1.0,是,是,右側,43.38,10.06,71.37,10.09,280.91,280.91,10.09,right,幾何二分法,18,✅,0.4903,10.06,
628-38(1),628-38,R6,b,205.6,3976.3,85.85,44.59,2.0243,2.0,1.0,否,否,—,43.38,12.64,11.19,2.59,113.01,113.02,12.68,right,幾何二分法,17,✅,0.4503,2.58,⚠️移出/第1調配順位
628-7(1),628-7,R6,b,522.97,3976.3,85.85,44.59,2.0243,2.0,1.0,否,否,—,43.38,19.27,17.44,6.65,291.71,291.72,19.33,right,幾何二分法,15,✅,0.4422,6.63,
628-20(1),628-20,R6,b,570.15,3976.3,85.85,44.59,2.0243,2.0,1.0,否,否,—,43.38,26.6,0.0,7.36,325.33,325.33,26.69,right,幾何二分法,16,✅,0.4294,7.34,
R6-抵費地-1,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1805.92,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R6-抵費地-2,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,85.66,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-18(2),628-18,R5,b,381.09,4150.21,92.8,45.04,1.8218,2.0,1.0,否,否,—,43.53,11.63,24.75,5.01,219.49,219.48,11.68,left,幾何二分法,16,✅,0.4241,4.99,
628-7(2),628-7,R5,b,436.69,4150.21,92.8,45.04,1.8218,2.0,1.0,否,否,—,43.53,17.39,20.0,5.78,254.74,254.74,17.46,left,幾何二分法,17,✅,0.4167,5.76,
628-20(2),628-20,R5,b,634.4,4150.21,92.8,45.04,1.8218,2.0,1.0,否,否,—,43.53,25.93,1.59,8.57,380.62,380.63,26.03,left,幾何二分法,15,✅,0.4,8.53,
