暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-37(1),628-37,R1,a,457.0,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,左側,33.25,8.43,63.35,8.46,273.92,273.92,8.46,left,幾何二分法,17,✅,0.4006,8.43,
628-35(2),628-35,R1,b,1255.0,2893.55,87.31,32.97,2.0243,0.0,1.0,否,否,—,33.25,30.51,36.66,22.15,734.47,734.47,30.61,left,幾何二分法,17,✅,0.4148,22.08,
628(5),628,R1,a,553.9,2893.55,87.31,32.97,1.7206,0.0,1.0,是,是,右側,33.27,12.97,83.88,13.01,329.84,329.83,13.01,right,幾何二分法,13,✅,0.4045,12.97,
628-36(1),628-36,R1,a,1047.0,2893.55,87.31,32.97,1.7206,0.0,1.0,否,否,—,33.27,33.02,16.12,20.12,666.52,666.52,33.13,right,幾何二分法,17,✅,0.3634,20.05,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,883.52,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.3,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,3146.51,3207.87,98.89,32.59,1.7206,0.0,1.0,是,是,左側,33.27,60.95,100.0,61.01,1987.48,1987.49,61.01,left,幾何二分法,16,✅,0.3684,60.95,
628-1(1),628-1,R4,a,949.59,3207.87,98.89,32.59,1.7206,0.0,1.0,是,是,右側,33.08,18.47,100.0,18.49,578.86,578.87,18.49,right,幾何二分法,16,✅,0.3904,18.47,
R4-抵費地,—,R4,—,0.0,3207.87,98.89,32.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,641.45,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-4(1),628-4,R6,b,1295.0,3976.3,85.85,44.59,2.0243,2.0,0.0,否,否,—,0.0,0.0,0.0,15.72,740.75,740.75,15.72,left,幾何二分法,18,✅,0.428,15.67,
628-21(1),628-21,R6,b,723.48,3976.3,85.85,44.59,2.0243,2.0,0.0,否,否,—,0.0,0.0,0.0,8.89,413.64,413.63,24.61,left,幾何二分法,18,✅,0.4283,8.86,
628-20(1),628-20,R6,b,612.3,3976.3,85.85,44.59,2.0243,2.0,0.0,否,否,—,0.0,0.0,0.0,7.59,349.95,349.95,32.2,left,幾何二分法,17,✅,0.4285,7.57,
