情境,公設筆,類,五則,歸戶,源zone,a分攤(㎡),目標宗,目標街廓,a′(㎡),targeting
3.5m,628(6)·半L,RD,①切半,G009,a,170.8,628(1),R4,170.8,同原地號
3.5m,628(6)·半R,RD,①切半,G009,a,170.99,628(5),R1,170.99,同原地號
3.5m,628-1(3),RD,③集中,G009,a,191.67,628-1(1),R4,191.67,同原地號
3.5m,628-18(3),RD,③集中,G005,b,96.82,628-18(2),R5,96.82,同原地號
3.5m,628-20(3),RD,③集中,G007,b,42.15,628-20(1),R6,42.15,同原地號
3.5m,628-22(3),RD,③集中,G017,b,0.68,628-22(2),R5,0.68,同原地號
3.5m,628-23(3),RD,③集中,G017,b,12.11,628-23(2),R5,12.11,同原地號
3.5m,628-3(1),RD,③集中,G001,b,13.15,628-34(2),R3,13.15,歸戶
3.5m,628-30(4)·半R,RD,①切半,G007,b,51.66,628-30(3),R3,51.66,同原地號
3.5m,628-30(4)·半L,RD,①切半,G007,b,48.76,628-20(2),R5,48.76,歸戶
3.5m,628-31(4)·半L,RD,①切半,G027,b,60.48,628-31(3),R3,60.48,同原地號
3.5m,628-31(4)·半R,RD,①切半,G027,b,60.38,628-31(3),R3,60.38,同原地號
3.5m,628-31(5),RD,③集中,G027,b,122.59,628-31(2),R2,122.59,同原地號
3.5m,628-32(4)·半L,RD,①切半,G026,b,64.72,628-32(3),R3,64.72,同原地號
3.5m,628-32(4)·半R,RD,①切半,G026,b,65.45,628-32(3),R3,65.45,同原地號
3.5m,628-32(5),RD,③集中,G026,b,132.19,628-32(2),R2,132.19,同原地號
3.5m,628-34(4),RD,③集中,G001,b,131.03,628-34(1),R2,131.03,同原地號
3.5m,628-35(3),RD,③集中,G021,b,117.46,628-35(2),R1,117.46,同原地號
3.5m,628-36(2),RD,③集中,G029,a,99.03,628-36(1),R1,99.03,同原地號
3.5m,628-37(2),RD,③集中,G019,a,106.24,628-37(1),R1,106.24,同原地號
3.5m,628-38(2),PF,PF併入,G032,b,41.96,628-38(1),R6,41.96,同原地號
3.5m,628-38(3),RD,③集中,G032,b,322.23,628-38(1),R6,322.23,同原地號
3.5m,628-38(4),RD,③集中,G032,b,8.21,628-38(1),R6,8.21,同原地號
3.5m,628-39(2),RD,③集中,G002,b,93.85,628-39(1),R2,93.85,同原地號
3.5m,628-4(2),RD,③集中,G008,b,141.0,628-4(1),R6,141.0,同原地號
3.5m,628-40(2),RD,③集中,G010,b,2.52,628-40(1),R2,2.52,同原地號
3.5m,628-41(2),RD,③集中,G023,b,205.52,628-41(1),R2,205.52,同原地號
3.5m,628-41(3),RD,③集中,G023,b,36.18,628-41(1),R2,36.18,同原地號
3.5m,628-42(3),PF,PF併入,G011,b,158.31,628-42(2),R3,158.31,同原地號
3.5m,628-42(4),RD,③集中,G011,b,449.89,628-42(2),R3,449.89,同原地號·G較大
3.5m,628-43(2),RD,③集中,G010,b,108.55,628-40(1),R2,108.55,歸戶
3.5m,628-44(1),RD,③集中,G010,b,3.71,628-40(1),R2,3.71,歸戶
3.5m,628-45(3),PF,PF併入,G007,b,273.09,628-45(2),R3,273.09,同原地號
3.5m,628-45(4),RD,③集中,G007,b,224.6,628-45(2),R3,224.6,同原地號
3.5m,628-45(5)·半L,RD,①切半,G007,b,105.03,628-20(2),R5,105.03,歸戶
3.5m,628-45(5)·半R,RD,①切半,G007,b,101.19,628-45(2),R3,101.19,同原地號
3.5m,628-46(2),RD,③集中,G033,b,121.15,628-46(1),R3,121.15,同原地號
3.5m,628-52(2),RD,③集中,G004,b,126.34,628-52(1),R2,126.34,同原地號
3.5m,628-7(3),PF,PF併入,G022,b,1568.71,628-7(1),R6,1568.71,同原地號
3.5m,628-7(4),RD,③集中,G022,b,404.63,628-7(1),R6,404.63,同原地號
