情境,街廓,暫編地號,角色,G_E(㎡),新形面積(㎡),S_E(m),S_new(m),宗地寬度_new(m),Δ面積(㎡)
0m,R1,628-37(1),標的(吞楔形·left),273.92,273.92,8.46,8.3,8.27,0.004
0m,R1,628-35(2),前移,734.47,734.47,22.15,22.15,22.08,0.001
0m,R1,74·G015@R1,前移,117.18,117.18,3.54,3.53,3.52,-0.001
0m,R1,628(5),對側·未動,329.83,329.83,13.01,13.01,12.97,
0m,R1,74·G012@R1,對側·未動,143.2,143.19,4.32,4.32,4.31,
0m,R1,74·G020@R1,對側·未動,138.46,138.46,4.18,4.18,4.17,
0m,R1,74·G018@R1,對側·未動,138.46,138.47,4.18,4.18,4.17,
0m,R1,74·G031@R1,對側·未動,117.15,117.14,3.54,3.54,3.53,
0m,R1,628-36(1),對側·未動,671.4,671.39,20.26,20.26,20.19,
0m,R3,628-45(2),標的(吞楔形·right),633.25,633.25,14.27,12.52,12.47,-0.004
0m,R3,628-42(2),前移,458.31,458.31,10.27,10.27,10.22,-0.001
0m,R3,628-30(3),前移,501.78,501.78,11.28,11.27,11.23,0.001
0m,R3,628-31(3),前移,475.97,475.97,10.73,10.73,10.68,0.003
0m,R3,628-34(2),對側·未動,265.76,265.76,6.07,6.07,6.04,
0m,R3,628-48(1),對側·未動,442.67,442.67,10.09,10.09,10.05,
0m,R3,628-32(3),對側·未動,515.67,515.67,11.72,11.72,11.67,
0m,R3,74·G025@R3,對側·未動,392.94,392.94,8.91,8.91,8.87,
0m,R6,628-4(1),標的(吞楔形·left),740.75,740.75,15.72,13.88,13.84,-0.002
0m,R6,74·G016@R6,前移,200.23,200.23,4.29,4.29,4.27,-0.002
0m,R6,628-21(1),前移,413.56,413.56,8.93,8.91,8.88,-0.002
0m,R6,628-20(1),前移,349.89,349.89,7.62,7.61,7.58,0.0
0m,R6,628-18(1),對側·未動,280.91,280.9,10.09,10.09,10.06,
0m,R6,628-38(1),對側·未動,319.49,319.5,7.3,7.3,7.28,
0m,R6,628-7(1),對側·未動,1424.42,1424.42,31.85,31.85,31.75,
