情境,原地號,暫編地號,所屬街廓,G(㎡),該側MinA(㎡),跨線併大側→,大側G(㎡)
0m,628-35,628-35(1),R2,58.01,153.65,628-35(2),606.51
0m,628,628(2),R6,7.13,156.06,628(1),1533.99
0m,628,628(3),R5,152.88,157.64,628(1),1533.99
0m,628,628(4),R3,46.16,152.74,628(1),1533.99
0m,628-34,628-34(3),R1,87.52,115.39,628-34(1),425.22
0m,628-42,628-42(1),R2,4.67,153.65,628-42(2),88.13
0m,628-42,628-42(2),R3,88.13,152.74,628-42(2),88.13
0m,628-27,628-27(1),R2,28.76,153.65,628-27(1),28.76
0m,628-27,628-27(2),R3,26.88,152.74,628-27(1),28.76
0m,628-30,628-30(2),R2,85.76,153.65,628-30(3),461.97
0m,628-30,628-30(1),R5,16.3,157.64,628-30(3),461.97
0m,628-31,628-31(1),R5,11.09,157.64,628-31(3),394.3
0m,628-49,628-49(1),R2,64.4,153.65,628-49(2),81.85
0m,628-49,628-49(2),R3,81.85,152.74,628-49(2),81.85
0m,628-32,628-32(1),R5,3.26,157.64,628-32(3),436.35
0m,628-1,628-1(2),R6,141.08,156.06,628-1(1),460.84
0m,628-23,628-23(1),R6,68.13,156.06,628-23(2),438.56
0m,628-22,628-22(1),R6,145.99,156.06,628-22(2),538.8
0m,628-53,628-53(1),R6,0.24,156.06,628-53(2),1.6
0m,628-53,628-53(2),R5,1.6,157.64,628-53(2),1.6
0m,628-45,628-45(1),R5,53.4,157.64,628-45(2),202.36
