街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,50.8601,42.54,52.91,100.0
R1,2,66.517,6.08,100.0,100.0
R1,3,60.4751,30.64,100.0,81.84
R1,4,56.6304,35.9,100.0,70.28
R2,1,21.2097,46.73,47.18,0.0
R2,2,21.4794,46.53,47.78,0.0
R2,3,36.0897,33.65,80.28,0.0
R2,4,39.4362,29.83,87.72,0.0
R2,5,44.9548,19.67,100.0,0.0
R2,6,44.9548,2.49,100.0,0.0
R2,7,44.9548,16.73,100.0,0.0
R2,8,44.9548,19.91,100.0,0.0
R2,9,44.9548,26.43,100.0,0.0
R2,10,44.9548,32.97,100.0,0.0
R2,11,44.9548,35.89,100.0,0.0
R2,12,44.9548,55.15,100.0,0.0
R2,13,44.9548,57.79,100.0,0.0
R3,0,44.8987,55.73,0.0,100.0
R3,1,44.8987,53.61,0.0,100.0
R3,2,44.8987,41.83,0.0,100.0
R3,3,44.8987,38.41,0.0,100.0
R3,4,44.8987,21.23,0.0,100.0
R3,5,44.8987,1.47,0.0,100.0
R3,6,44.8987,16.15,0.0,100.0
R3,7,30.8669,36.71,0.0,68.75
R3,8,23.9337,42.57,0.0,53.31
R3,9,18.6976,46.49,0.0,41.64
R4,1,63.3575,32.36,100.0,90.95
R5,1,23.0059,42.77,52.85,0.0
R5,2,35.2597,31.27,81.0,0.0
R5,3,43.5305,14.33,100.0,0.0
R5,4,43.5305,7.41,100.0,0.0
R5,5,43.5305,7.91,100.0,0.0
R5,6,43.5305,8.05,100.0,0.0
R5,7,43.5305,30.93,100.0,0.0
R5,8,43.5305,49.37,100.0,0.0
R5,9,43.5305,55.77,100.0,0.0
R6,0,43.3815,52.57,0.0,100.0
R6,1,43.3815,46.35,0.0,100.0
R6,2,43.3815,18.21,0.0,100.0
R6,3,43.3815,0.35,0.0,100.0
R6,4,43.3815,13.85,0.0,100.0
R6,5,35.9025,27.19,0.0,82.76
R6,6,31.0438,32.37,0.0,71.56
