暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-37(1),628-37,R1,a,350.76,2893.55,87.31,32.97,1.7022,0.0,1.0,是,是,左側,33.25,6.51,52.91,6.53,209.95,209.95,6.53,left,幾何二分法,17,✅,0.4014,6.51,
628-35(2),628-35,R1,b,1137.54,2893.55,87.31,32.97,2.0025,0.0,1.0,否,否,—,33.25,26.51,47.09,20.07,665.38,665.38,26.6,left,幾何二分法,17,✅,0.4151,20.0,
628(5),628,R1,a,382.91,2893.55,87.31,32.97,1.7022,0.0,1.0,是,是,右側,33.27,9.83,70.27,9.86,225.4,225.4,9.86,right,幾何二分法,16,✅,0.4113,9.83,
628-36(1),628-36,R1,a,947.97,2893.55,87.31,32.97,1.7022,0.0,1.0,否,否,—,33.27,27.93,29.72,18.16,601.64,601.63,28.02,right,幾何二分法,16,✅,0.3653,18.1,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1185.86,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.3,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,2975.71,3207.87,98.89,32.59,1.7022,0.0,1.0,是,是,左側,33.27,57.9,100.0,57.96,1886.5,1886.5,57.96,left,幾何二分法,18,✅,0.366,57.9,
628-1(1),628-1,R4,a,757.92,3207.87,98.89,32.59,1.7022,0.0,1.0,是,是,右側,33.08,14.91,90.98,14.92,460.84,460.84,14.92,right,幾何二分法,17,✅,0.392,14.9,
R4-抵費地,—,R4,—,0.0,3207.87,98.89,32.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,860.46,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-4(1),628-4,R6,b,1154.0,3976.3,85.85,44.59,2.0025,2.0,0.0,否,否,—,0.0,0.0,0.0,14.07,663.87,663.87,14.07,left,幾何二分法,18,✅,0.4247,14.02,
628-21(1),628-21,R6,b,723.48,3976.3,85.85,44.59,2.0025,2.0,0.0,否,否,—,0.0,0.0,0.0,8.93,416.01,416.01,23.0,left,幾何二分法,15,✅,0.425,8.9,
628-18(1),628-18,R6,b,551.09,3976.3,85.85,44.59,2.0025,2.0,1.0,是,是,右側,43.38,10.1,71.55,10.13,282.62,282.63,10.13,right,幾何二分法,16,✅,0.4871,10.1,
628-38(1),628-38,R6,b,205.6,3976.3,85.85,44.59,2.0025,2.0,1.0,否,否,—,43.38,12.7,11.23,2.6,113.67,113.67,12.73,right,幾何二分法,16,✅,0.4471,2.59,⚠️移出/第1調配順位
628-7(1),628-7,R6,b,522.97,3976.3,85.85,44.59,2.0025,2.0,1.0,否,否,—,43.38,19.37,17.2,6.69,293.5,293.5,19.42,right,幾何二分法,17,✅,0.4388,6.67,
628-20(1),628-20,R6,b,570.15,3976.3,85.85,44.59,2.0025,2.0,1.0,否,否,—,43.38,26.74,0.0,7.4,327.18,327.18,26.82,right,幾何二分法,15,✅,0.4262,7.38,
R6-抵費地-1,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1794.02,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R6-抵費地-2,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,85.66,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-18(2),628-18,R5,b,381.09,4150.21,92.8,45.04,1.8023,2.0,1.0,是,是,左側,43.53,6.5,52.88,6.53,206.74,206.75,6.53,left,幾何二分法,17,✅,0.4575,6.5,
628-7(2),628-7,R5,b,436.69,4150.21,92.8,45.04,1.8023,2.0,1.0,否,否,—,43.53,12.25,28.14,5.77,252.87,252.87,12.3,left,幾何二分法,17,✅,0.4209,5.75,
628-20(2),628-20,R5,b,634.4,4150.21,92.8,45.04,1.8023,2.0,1.0,否,否,—,43.53,20.73,19.0,8.51,375.78,375.78,20.81,left,幾何二分法,18,✅,0.4077,8.47,
628-23(2),628-23,R5,b,724.48,4150.21,92.8,45.04,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,9.23,438.61,438.61,9.23,right,幾何二分法,18,✅,0.3946,9.19,
628-22(2),628-22,R5,b,890.41,4150.21,92.8,45.04,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,11.45,538.86,538.86,20.68,right,幾何二分法,17,✅,0.3948,11.4,
628-21(2),628-21,R5,b,806.84,4150.21,92.8,45.04,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,10.49,488.08,488.08,31.17,right,幾何二分法,17,✅,0.3951,10.45,
R5-抵費地,—,R5,—,0.0,4150.21,92.8,45.04,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1849.51,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-41(1),628-41,R2,b,319.3,4368.6,100.03,43.9,1.9024,2.0,1.0,是,是,左側,44.95,5.53,47.16,5.54,166.39,166.4,5.54,left,幾何二分法,17,✅,0.4789,5.53,
628-42(1),628-42,R2,b,8.34,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,5.63,0.62,0.1,4.66,4.67,5.64,left,幾何二分法,13,✅,0.44,0.1,⚠️移出/第1調配順位
628-40(1),628-40,R2,b,513.93,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,12.07,32.51,6.46,290.02,290.02,12.1,left,幾何二分法,18,✅,0.4357,6.44,
628-30(2),628-30,R2,b,150.3,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,13.97,7.42,1.91,85.63,85.63,14.01,left,幾何二分法,18,✅,0.4303,1.91,⚠️移出/第1調配順位
628-39(1),628-39,R2,b,395.15,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,19.04,12.31,5.09,227.96,227.96,19.1,left,幾何二分法,17,✅,0.4231,5.08,
628-31(2),628-31,R2,b,654.32,4368.6,100.03,43.9,1.9024,2.0,1.0,否,否,—,44.95,27.63,0.0,8.61,385.45,385.45,27.71,left,幾何二分法,18,✅,0.4109,8.59,
628-34(1),628-34,R2,b,874.62,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,11.68,514.9,514.91,11.68,right,幾何二分法,14,✅,0.4113,11.65,
628-49(1),628-49,R2,b,109.39,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,1.46,64.4,64.4,13.14,right,幾何二分法,16,✅,0.4113,1.46,⚠️移出/第1調配順位
628-50(1),628-50,R2,b,246.0,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,3.28,144.84,144.84,16.42,right,幾何二分法,17,✅,0.4112,3.27,⚠️移出/第1調配順位
628-51(1),628-51,R2,b,245.0,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,3.26,144.26,144.25,19.68,right,幾何二分法,17,✅,0.4112,3.25,⚠️移出/第1調配順位
628-52(1),628-52,R2,b,119.66,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,1.59,70.45,70.46,21.27,right,幾何二分法,10,✅,0.4112,1.59,⚠️移出/第1調配順位
628-32(2),628-32,R2,b,730.37,4368.6,100.03,43.9,1.9024,2.0,0.0,否,否,—,0.0,0.0,0.0,9.72,430.07,430.06,30.99,right,幾何二分法,17,✅,0.4112,9.7,
R2-抵費地,—,R2,—,0.0,4368.6,100.03,43.9,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1839.81,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-34(2),628-34,R3,b,429.35,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,5.92,259.11,259.11,5.92,left,幾何二分法,18,✅,0.3965,5.89,
628-46(1),628-46,R3,b,124.85,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,1.72,75.35,75.35,7.64,left,幾何二分法,17,✅,0.3965,1.71,⚠️移出/第1調配順位
628-48(1),628-48,R3,b,627.61,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,8.63,378.8,378.8,16.27,left,幾何二分法,15,✅,0.3964,8.59,
628-32(3),628-32,R3,b,728.27,4206.8,93.41,43.64,1.8023,2.0,0.0,否,否,—,0.0,0.0,0.0,9.99,439.6,439.6,26.26,left,幾何二分法,14,✅,0.3964,9.95,
628-45(2),628-45,R3,b,362.38,4206.8,93.41,43.64,1.8023,2.0,1.0,是,是,右側,44.9,4.62,41.64,4.64,202.36,202.36,4.64,right,幾何二分法,14,✅,0.4416,4.62,
628-42(2),628-42,R3,b,153.46,4206.8,93.41,43.64,1.8023,2.0,1.0,否,否,—,44.9,6.58,11.66,1.97,88.13,88.13,6.61,right,幾何二分法,18,✅,0.4257,1.96,⚠️移出/第1調配順位
628-29(1),628-29,R3,b,228.0,4206.8,93.41,43.64,1.8023,2.0,1.0,否,否,—,44.9,9.51,15.44,2.94,131.66,131.67,9.55,right,幾何二分法,14,✅,0.4225,2.93,⚠️移出/第1調配順位
628-30(3),628-30,R3,b,783.29,4206.8,93.41,43.64,1.8023,2.0,1.0,否,否,—,44.9,19.78,31.25,10.32,460.86,460.85,19.87,right,幾何二分法,17,✅,0.4116,10.28,
628-31(3),628-31,R3,b,671.23,4206.8,93.41,43.64,1.8023,2.0,1.0,否,否,—,44.9,28.84,0.0,9.1,405.37,405.38,28.97,right,幾何二分法,14,✅,0.3961,9.06,
R3-抵費地-1,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1687.26,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R3-抵費地-2,—,R3,—,0.0,4206.8,93.41,43.64,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,78.19,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
