暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-36(1),628-36,R1,a,1047.0,2893.55,87.31,32.97,1.7022,0.0,1.0,是,是,左側,33.25,19.56,100.0,19.63,644.19,644.19,19.63,left,幾何二分法,17,✅,0.3847,19.57,
628-35(2),628-35,R1,b,1255.0,2893.55,87.31,32.97,2.0025,0.0,1.0,否,否,—,33.25,42.1,0.0,22.62,749.79,749.79,42.25,left,幾何二分法,17,✅,0.4026,22.55,
628(5),628,R1,a,553.9,2893.55,87.31,32.97,1.7022,0.0,1.0,是,是,右側,33.27,13.02,84.06,13.06,331.36,331.37,13.06,right,幾何二分法,16,✅,0.4018,13.02,
74·G016@R1,74·G016,R1,74avg·R1,585.47,2893.55,87.31,32.97,1.8151,0.0,1.0,否,否,—,33.27,23.91,15.92,10.93,362.03,362.03,23.99,right,幾何二分法,16,✅,0.3816,10.89,
74·G003@R1,74·G003,R1,74avg·R1,187.85,2893.55,87.31,32.97,1.8151,0.0,1.0,否,否,—,33.27,27.45,0.0,3.55,117.69,117.7,27.54,right,幾何二分法,14,✅,0.3734,3.54,
74·G025@R1,74·G025,R1,74avg·R1,305.07,2893.55,87.31,32.97,1.8151,0.0,1.0,否,否,—,33.27,33.2,0.0,5.77,191.15,191.15,33.31,right,幾何二分法,16,✅,0.3734,5.75,
628-37(1),628-37,R1,a,457.0,2893.55,87.31,32.97,1.7022,0.0,1.0,否,否,—,33.27,42.05,0.0,8.88,294.36,294.37,42.19,right,幾何二分法,15,✅,0.3559,8.85,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,197.35,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.3,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,3146.51,3207.87,98.89,32.59,1.7022,0.0,1.0,是,是,左側,33.27,61.22,100.0,61.28,1996.53,1996.52,61.28,left,幾何二分法,14,✅,0.3655,61.22,
628-1(1),628-1,R4,a,949.59,3207.87,98.89,32.59,1.7022,0.0,1.0,是,是,右側,33.08,18.55,100.0,18.57,581.58,581.59,18.57,right,幾何二分法,14,✅,0.3875,18.55,
74·G014@R4,74·G014,R4,74avg·R4,193.8,3207.87,98.89,32.59,1.7022,0.0,1.0,否,否,—,33.08,22.32,0.0,3.77,124.83,124.83,22.34,right,幾何二分法,14,✅,0.3559,3.77,
