情境,街廓,暫編地號,角色,G_E(㎡),新形面積(㎡),S_E(m),S_new(m),宗地寬度_new(m),Δ面積(㎡)
0m,R1,628-37(1),標的(吞楔形·left),275.17,275.17,8.5,8.34,8.31,0.003
0m,R1,628-35(2),前移,738.77,738.77,22.28,22.28,22.21,-0.003
0m,R1,74·G015@R1,前移,117.18,117.18,3.54,3.53,3.52,-0.001
0m,R1,628(5),對側·未動,331.37,331.38,13.06,13.06,13.02,
0m,R1,74·G020@R1,對側·未動,135.6,135.59,4.09,4.09,4.08,
0m,R1,74·G018@R1,對側·未動,138.44,138.43,4.18,4.18,4.17,
0m,R1,74·G004@R1,對側·未動,139.71,139.7,4.22,4.22,4.21,
0m,R1,74·G031@R1,對側·未動,117.56,117.55,3.55,3.55,3.54,
0m,R1,628-36(1),對側·未動,674.4,674.4,20.35,20.35,20.28,
0m,R3,628-45(2),標的(吞楔形·right),636.4,636.4,14.34,12.59,12.54,0.002
0m,R3,628-42(2),前移,460.65,460.65,10.32,10.32,10.28,0.001
0m,R3,628-30(3),前移,504.22,504.22,11.33,11.33,11.28,-0.0
0m,R3,628-31(3),前移,478.28,478.28,10.78,10.78,10.73,0.003
0m,R3,628-34(2),對側·未動,267.05,267.05,6.1,6.1,6.07,
0m,R3,628-48(1),對側·未動,444.82,444.83,10.14,10.14,10.1,
0m,R3,628-32(3),對側·未動,518.18,518.17,11.78,11.78,11.73,
0m,R3,74·G025@R3,對側·未動,375.46,375.46,8.51,8.51,8.47,
0m,R6,628-4(1),標的(吞楔形·left),744.96,744.96,15.81,13.97,13.93,-0.004
0m,R6,74·G016@R6,前移,180.15,180.15,3.86,3.85,3.84,-0.003
0m,R6,628-21(1),前移,415.92,415.92,8.98,8.96,8.93,-0.002
0m,R6,628-20(1),前移,351.88,351.88,7.67,7.65,7.63,0.001
0m,R6,628-18(1),對側·未動,282.63,282.62,10.13,10.13,10.1,
0m,R6,628-38(1),對側·未動,321.35,321.36,7.34,7.34,7.32,
0m,R6,628-7(1),對側·未動,1432.6,1432.61,32.02,32.02,31.92,
