情境,街廓,暫編地號,角色,G_E(㎡),新形面積(㎡),S_E(m),S_new(m),宗地寬度_new(m),Δ面積(㎡)
3.5m,R1,628-36(1),標的(吞楔形·left),644.19,644.19,19.63,19.47,19.4,0.005
3.5m,R1,628-35(2),前移,749.79,749.79,22.62,22.62,22.54,0.002
3.5m,R1,628(5),對側·未動,331.37,331.36,13.06,13.06,13.02,
3.5m,R1,74·G016@R1,對側·未動,362.03,362.03,10.93,10.93,10.89,
3.5m,R1,74·G003@R1,對側·未動,117.7,117.69,3.55,3.55,3.54,
3.5m,R1,74·G025@R1,對側·未動,191.15,191.15,5.77,5.77,5.75,
3.5m,R1,628-37(1),對側·未動,294.37,294.36,8.88,8.88,8.85,
3.5m,R6,628-4(1),標的(吞楔形·left),744.96,744.96,15.81,13.97,13.93,-0.004
3.5m,R6,74·G016@R6,前移,180.15,180.15,3.86,3.85,3.84,-0.003
3.5m,R6,628-21(1),前移,415.92,415.92,8.98,8.96,8.93,-0.002
3.5m,R6,628-20(1),前移,351.88,351.88,7.67,7.65,7.63,0.001
3.5m,R6,628-18(1),對側·未動,282.63,282.62,10.13,10.13,10.1,
3.5m,R6,628-38(1),對側·未動,321.35,321.36,7.34,7.34,7.32,
3.5m,R6,628-7(1),對側·未動,1432.6,1432.61,32.02,32.02,31.92,
