暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-37(1),628-37,R1,,350.76,2893.55,87.31,32.97,1,0,1,是,是,左側,33.25,8.29,62.6,8.31,269.08,269.09,8.31,left,幾何二分法,16,✅,0.2328,8.28,
628-35(2),628-35,R1,,1039,2893.55,87.31,32.97,1,0,1,否,否,—,33.25,33.73,37.39,25.53,846.28,846.28,33.84,left,幾何二分法,17,✅,0.1855,25.45,
628(5),628,R1,,382.91,2893.55,87.31,32.97,1,0,1,是,是,右側,33.27,11.78,79.04,11.82,290.16,290.17,11.82,right,幾何二分法,16,✅,0.2422,11.78,
628-34(3),628-34,R1,,152.34,2893.55,87.31,32.97,1,0,1,否,否,—,33.27,15.43,13.58,3.66,121.38,121.39,15.48,right,幾何二分法,16,✅,0.2032,3.65,
628-36(1),628-36,R1,,947.97,2893.55,87.31,32.97,1,0,1,否,否,—,33.27,38.92,7.37,23.57,781.03,781.03,39.05,right,幾何二分法,16,✅,0.1761,23.49,
R1-抵費地-1,—,R1,—,0,2893.55,87.31,32.97,0,0,0,—,—,—,0,0,0,0,580.34,0,0,抵費地,幾何剩餘,0,🟡,0,,
R1-抵費地-2,—,R1,—,0,2893.55,87.31,32.97,0,0,0,—,—,—,0,0,0,0,5.3,0,0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0,,
628-41(1),628-41,R2,,319.3,4368.6,100.03,43.9,1,2,1,是,是,左側,44.95,6.84,54.78,6.86,225.55,225.55,6.86,left,幾何二分法,18,✅,0.2936,6.84,
628-42(1),628-42,R2,,8.34,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,6.98,0.79,0.14,6.26,6.26,7,left,幾何二分法,15,✅,0.2494,0.14,⚠️移出/第1調配順位
628-27(1),628-27,R2,,51.32,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,7.84,4.64,0.86,38.6,38.61,7.86,left,幾何二分法,17,✅,0.2477,0.86,⚠️移出/第1調配順位
628-40(1),628-40,R2,,513.48,4368.6,100.03,43.9,1,2,1,否,否,—,44.95,16.53,35.75,8.71,390.88,390.89,16.57,left,幾何二分法,17,✅,0.2387,8.69,
