情境,歸戶鍵Gxxx,宗數,宗清單,ΣG_戶(㎡),含旗標宗數,梯次,對應v3級,阻卻,路徑標註,持分和檢核,增配a′(㎡),差額地價(元)§52-1,放棄改領(元)§53-2,補償_本文式(元)§53-1,補償_但書式(元),估算性質,備註
3.5m,G001,3,628-34(3);628-34(1);628-34(2),771.86,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G002,1,628-39(1),232.78,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G003,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G004,1,628-52(1),70.46,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,43.61,3294784,5057165,,,半實算(試分配·非正式),
3.5m,G005,2,628-18(1);628-18(2),503.2,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G006,4,628-49(1);628-49(2);628-47(1);628-48(1),443.2,4,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G007,7,628-20(1);628-20(2);628-45(1);628-45(2);628-30(2);628-30(1);628-30(3),1481.18,3,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G008,1,628-4(1),663.75,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G009,7,628-1(1);628-1(2);628(5);628(1);628(2);628(3);628(4),2567.48,4,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G010,2,628-40(1);628-43(1),294.57,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G011,2,628-42(1);628-42(2),93.29,2,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,20.78,1569952,6343347,,,半實算(試分配·非正式),
3.5m,G012,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G013,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G014,2,628-28(1);628-29(1),133.31,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G015,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G016,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G017,6,628-22(1);628-22(2);628-21(1);628-21(2);628-23(1);628-23(2),1880.76,2,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G018,1,628-51(1),144.25,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G019,1,628-37(1),220.44,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G020,1,628-50(1),144.84,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G021,2,628-35(2);628-35(1),678.47,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G022,2,628-7(1);628-7(2),550.93,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G023,1,628-41(1),180.31,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G024,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G025,2,628-53(1);628-53(2),1.84,2,3,現金補償(兩式),否,現金補償(兩式),✅,,,,222271,121483,半實算(試分配·非正式),
3.5m,G026,3,628-32(2);628-32(1);628-32(3),869.67,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G027,3,628-31(2);628-31(1);628-31(3),790.79,1,0,級0 集中合併/級0′弱弱聯合,否,級0 集中合併/級0′弱弱聯合,✅,,,,,,半實算(試分配·非正式),
3.5m,G028,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G029,1,628-36(1),580.67,0,1,級0 逐宗個別,否,級0 逐宗個別,✅,,,,,,半實算(試分配·非正式),
3.5m,G030,2,628-27(1);628-27(2),56.2,2,3,現金補償(兩式),否,現金補償(兩式),✅,,,,6857473,3697298,半實算(試分配·非正式),
3.5m,G031,0,,0,0,3,現金補償(兩式),否,現金補償(兩式),✅,,,,0,0,半實算(試分配·非正式),
3.5m,G032,1,628-38(1),113.68,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,0.39,29465,8588651,,,半實算(試分配·非正式),
3.5m,G033,1,628-46(1),75.35,1,2,級1-4 增配(雙出口),否,級1-4 增配(雙出口),✅,38.72,2925339,5123499,,,半實算(試分配·非正式),
