街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,50.1546,39.6,50.79,100.0
R1,2,65.5805,3.52,97.18,100.0
R1,3,55.3577,32.9,97.18,69.27
R1,4,50.8947,38.08,97.18,55.86
R2,1,16.9522,48.13,37.71,0.0
R2,2,17.2607,47.91,38.4,0.0
R2,3,19.0724,46.61,42.43,0.0
R2,4,34.5645,33.55,76.89,0.0
R2,5,34.5838,33.53,76.93,0.0
R2,6,38.1483,29.65,84.86,0.0
R2,7,44.9548,19.37,100.0,0.0
R2,8,44.9548,1.91,100.0,0.0
R2,9,44.9548,17.79,100.0,0.0
R2,10,44.9548,21.03,100.0,0.0
R2,11,44.9548,27.65,100.0,0.0
R2,12,44.9548,34.29,100.0,0.0
R2,13,44.9548,37.25,100.0,0.0
R2,14,44.9548,56.81,100.0,0.0
R2,15,44.9548,59.49,100.0,0.0
R3,0,44.8987,56.04,0.0,100.0
R3,1,44.8987,53.98,0.0,100.0
R3,2,44.8987,42.58,0.0,100.0
R3,3,44.8987,36.06,0.0,100.0
R3,4,44.8987,32.76,0.0,100.0
R3,5,44.8987,26.24,0.0,100.0
R3,6,44.8987,22.66,0.0,100.0
R3,7,44.8987,3.58,0.0,100.0
R3,8,44.8987,13.42,0.0,100.0
R3,9,31.2725,33.26,0.0,69.65
R3,10,28.106,36.08,0.0,62.6
R3,11,24.6968,38.9,0.0,55.01
R3,12,23.2125,40.06,0.0,51.7
R3,13,18.0802,43.86,0.0,40.27
R4,1,62.3139,32.22,100.0,87.8
R5,1,18.532,40.75,42.57,0.0
R5,2,18.6399,40.67,42.82,0.0
R5,3,21.7123,38.33,49.88,0.0
R5,4,33.9254,27.25,77.93,0.0
R5,5,43.5305,14.09,100.0,0.0
R5,6,43.5305,13.37,100.0,0.0
R5,7,43.5305,6.87,100.0,0.0
R5,8,43.5305,7.33,100.0,0.0
R5,9,43.5305,7.47,100.0,0.0
R5,10,43.5305,29.55,100.0,0.0
R5,11,43.5305,47.35,100.0,0.0
R5,12,43.5305,53.57,100.0,0.0
R6,0,43.3815,51.67,0.0,100.0
R6,1,43.3815,51.35,0.0,100.0
R6,2,43.3815,45.23,0.0,100.0
R6,3,43.3815,42.23,0.0,100.0
R6,4,43.3815,12.83,0.0,100.0
R6,5,43.3815,6.29,0.0,100.0
R6,6,43.3815,2.79,0.0,100.0
R6,7,41.9673,18.11,0.0,96.74
R6,8,30.636,31.87,0.0,70.62
R6,9,24.6554,37.25,0.0,56.83
R6,10,24.632,37.27,0.0,56.78
