街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,66.2144,20.27,99.09,100.0
R1,2,66.517,17.05,100.0,100.0
R1,3,60.4751,30.65,100.0,81.84
R1,4,56.6304,35.91,100.0,70.28
R2,1,0.2428,57.1,0.54,0.0
R2,2,9.1926,49.08,20.45,0.0
R2,3,10.4491,47.78,23.24,0.0
R2,4,19.8608,34.7,44.18,0.0
R2,5,19.8608,34.68,44.18,0.0
R2,6,19.8608,30.72,44.18,0.0
R2,7,19.8608,20.34,44.18,0.0
R2,8,19.8608,3.14,44.18,0.0
R2,9,19.8608,16.26,44.18,0.0
R2,10,19.8608,19.44,44.18,0.0
R2,11,19.8608,25.94,44.18,0.0
R2,12,19.8608,32.48,44.18,0.0
R2,13,19.8608,35.4,44.18,0.0
R2,14,19.8608,54.66,44.18,0.0
R2,15,19.8608,57.3,44.18,0.0
R3,0,19.7717,56.77,0.0,44.04
R3,1,19.7717,54.65,0.0,44.04
R3,2,19.7717,42.87,0.0,44.04
R3,3,19.7717,36.11,0.0,44.04
R3,4,19.7717,32.69,0.0,44.04
R3,5,19.7717,25.95,0.0,44.04
R3,6,19.7717,22.25,0.0,44.04
R3,7,19.7717,2.49,0.0,44.04
R3,8,19.7717,15.17,0.0,44.04
R3,9,18.9532,36.27,0.0,42.21
R3,10,16.9913,39.25,0.0,37.84
R3,11,9.0328,48.69,0.0,20.12
R3,12,5.9745,51.63,0.0,13.31
R3,13,4.6814,52.83,0.0,10.43
R4,1,63.3575,32.36,100.0,90.95
R5,1,0.0992,54.01,0.23,0.0
R5,2,10.9073,43.97,25.06,0.0
R5,3,13.0702,41.53,30.03,0.0
R5,4,20.1678,29.91,46.33,0.0
R5,5,20.1678,15.97,46.33,0.0
R5,6,20.1678,15.23,46.33,0.0
R5,7,20.1678,5.75,46.33,0.0
R5,8,20.1678,6.23,46.33,0.0
R5,9,20.1678,6.37,46.33,0.0
R5,10,20.1678,29.25,46.33,0.0
R5,11,20.1678,47.69,46.33,0.0
R5,12,20.1678,54.09,46.33,0.0
R6,0,43.3815,52.87,0.0,100.0
R6,1,43.3815,52.57,0.0,100.0
R6,2,43.3815,46.65,0.0,100.0
R6,3,43.3815,43.77,0.0,100.0
R6,4,43.3815,15.59,0.0,100.0
R6,5,43.3815,9.33,0.0,100.0
R6,6,43.3815,0.63,0.0,100.0
R6,7,43.3815,14.13,0.0,100.0
R6,8,35.9199,27.47,0.0,82.8
R6,9,31.0638,32.65,0.0,71.61
R6,10,31.0438,32.67,0.0,71.56
