街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,50.8032,42.35,52.74,100.0
R1,2,66.517,6.09,100.0,100.0
R1,3,60.4219,30.47,100.0,81.68
R1,4,56.5825,35.71,100.0,70.14
R2,1,21.1557,46.47,47.06,0.0
R2,2,21.4255,46.27,47.66,0.0
R2,3,35.9819,33.47,80.04,0.0
R2,4,39.3166,29.67,87.46,0.0
R2,5,44.9548,19.57,100.0,0.0
R2,6,44.9548,2.47,100.0,0.0
R2,7,44.9548,16.65,100.0,0.0
R2,8,44.9548,19.83,100.0,0.0
R2,9,44.9548,26.31,100.0,0.0
R2,10,44.9548,32.81,100.0,0.0
R2,11,44.9548,35.71,100.0,0.0
R2,12,44.9548,54.87,100.0,0.0
R2,13,44.9548,57.49,100.0,0.0
R3,0,44.8987,55.45,0.0,100.0
R3,1,44.8987,53.35,0.0,100.0
R3,2,44.8987,41.63,0.0,100.0
R3,3,44.8987,38.23,0.0,100.0
R3,4,44.8987,21.13,0.0,100.0
R3,5,44.8987,1.47,0.0,100.0
R3,6,44.8987,16.07,0.0,100.0
R3,7,30.7807,36.51,0.0,68.56
R3,8,23.8569,42.35,0.0,53.14
R3,9,18.6419,46.25,0.0,41.52
R4,1,63.288,32.21,100.0,90.74
R5,1,22.9562,42.54,52.74,0.0
R5,2,35.1726,31.1,80.8,0.0
R5,3,43.5305,14.24,100.0,0.0
R5,4,43.5305,7.4,100.0,0.0
R5,5,43.5305,7.9,100.0,0.0
R5,6,43.5305,8.04,100.0,0.0
R5,7,43.5305,30.8,100.0,0.0
R5,8,43.5305,49.14,100.0,0.0
R5,9,43.5305,55.5,100.0,0.0
R6,0,43.3815,52.29,0.0,100.0
R6,1,43.3815,46.09,0.0,100.0
R6,2,43.3815,18.11,0.0,100.0
R6,3,43.3815,0.37,0.0,100.0
R6,4,43.3815,13.75,0.0,100.0
R6,5,35.8158,27.01,0.0,82.56
R6,6,30.964,32.17,0.0,71.38
