街廓,k,J,dev(m),ΣRw_L(%),ΣRw_R(%)
R1,1,66.2144,20.27,99.09,100.0
R1,2,66.517,17.05,100.0,100.0
R1,3,60.4751,30.65,100.0,81.84
R1,4,56.6304,35.91,100.0,70.28
R2,1,0.2428,56.34,0.54,0.0
R2,2,9.1926,48.32,20.45,0.0
R2,3,19.4661,35.26,43.3,0.0
R2,4,19.8608,31.32,44.18,0.0
R2,5,19.8608,20.94,44.18,0.0
R2,6,19.8608,3.74,44.18,0.0
R2,7,19.8608,15.5,44.18,0.0
R2,8,19.8608,18.68,44.18,0.0
R2,9,19.8608,25.18,44.18,0.0
R2,10,19.8608,31.72,44.18,0.0
R2,11,19.8608,34.64,44.18,0.0
R2,12,19.8608,53.9,44.18,0.0
R2,13,19.8608,56.54,44.18,0.0
R3,0,19.7717,56.15,0.0,44.04
R3,1,19.7717,54.03,0.0,44.04
R3,2,19.7717,42.25,0.0,44.04
R3,3,19.7717,38.83,0.0,44.04
R3,4,19.7717,21.65,0.0,44.04
R3,5,19.7717,1.89,0.0,44.04
R3,6,19.7717,15.77,0.0,44.04
R3,7,18.2121,36.83,0.0,40.56
R3,8,13.8143,42.81,0.0,30.77
R3,9,4.6814,52.21,0.0,10.43
R4,1,63.3575,32.36,100.0,90.95
R5,1,10.8324,44.35,24.88,0.0
R5,2,19.5496,32.77,44.91,0.0
R5,3,20.1678,15.61,46.33,0.0
R5,4,20.1678,6.03,46.33,0.0
R5,5,20.1678,6.53,46.33,0.0
R5,6,20.1678,6.67,46.33,0.0
R5,7,20.1678,29.55,46.33,0.0
R5,8,20.1678,47.99,46.33,0.0
R5,9,20.1678,54.39,46.33,0.0
R6,0,43.3815,52.57,0.0,100.0
R6,1,43.3815,46.35,0.0,100.0
R6,2,43.3815,18.21,0.0,100.0
R6,3,43.3815,0.35,0.0,100.0
R6,4,43.3815,13.85,0.0,100.0
R6,5,35.9025,27.19,0.0,82.76
R6,6,31.0438,32.37,0.0,71.56
