暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-37(1),628-37,R1,a,350.76,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,左側,33.25,6.46,52.6,6.48,208.24,208.17,6.48,left,幾何二分法,18,✅,0.4065,6.46,
628-35(2),628-35,R1,b,1137.54,2893.55,87.31,32.97,2.0429,0.0,1.0,否,否,—,33.25,26.25,47.38,19.85,658.15,658.17,26.33,left,幾何二分法,15,✅,0.4214,19.79,
628(5),628,R1,a,382.91,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,右側,33.27,9.77,69.99,9.8,223.4,223.44,9.8,right,幾何二分法,15,✅,0.4165,9.77,
628-36(1),628-36,R1,a,947.97,2893.55,87.31,32.97,1.7364,0.0,1.0,否,否,—,33.27,27.71,30.0,18.0,596.4,596.49,27.8,right,幾何二分法,16,✅,0.3708,17.94,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1202.04,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.33,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,2975.71,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,左側,33.27,57.42,100.0,57.48,1870.6,1870.65,57.48,left,幾何二分法,17,✅,0.3714,57.42,
628-1(1),628-1,R4,a,757.92,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,右側,33.08,14.79,90.57,14.81,457.06,456.93,14.81,right,幾何二分法,16,✅,0.3971,14.79,
R4-抵費地,—,R4,—,0.0,3207.87,98.89,32.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,880.21,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-4(1),628-4,R6,b,1154.0,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,14.68,692.29,692.18,14.68,left,幾何二分法,14,✅,0.4002,14.63,
628-21(1),628-21,R6,b,723.48,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.32,433.94,433.74,24.0,left,幾何二分法,17,✅,0.4005,9.29,
628-18(1),628-18,R6,b,551.09,3976.3,85.85,44.59,1.8386,2.0,1.0,是,是,右側,43.38,10.39,72.91,10.43,295.7,295.59,10.43,right,幾何二分法,18,✅,0.4636,10.4,
628-38(1),628-38,R6,b,205.6,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,13.1,11.48,2.72,118.74,118.61,13.15,right,幾何二分法,17,✅,0.4231,2.71,⚠️移出/第1調配順位
628-7(1),628-7,R6,b,522.97,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,20.07,15.62,6.99,306.85,306.91,20.14,right,幾何二分法,16,✅,0.4131,6.97,
628-20(1),628-20,R6,b,570.15,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,27.75,0.0,7.71,341.28,341.15,27.85,right,幾何二分法,17,✅,0.4016,7.69,
R6-抵費地-1,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1701.8,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R6-抵費地-2,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,85.71,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-18(2),628-18,R5,b,381.09,4150.21,92.8,45.04,1.9407,2.0,1.0,是,是,左側,43.53,6.33,51.9,6.36,199.2,199.25,6.36,left,幾何二分法,18,✅,0.4772,6.33,
628-7(2),628-7,R5,b,436.69,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,11.88,27.6,5.57,243.97,244.05,11.93,left,幾何二分法,17,✅,0.4411,5.55,
628-20(2),628-20,R5,b,634.4,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,20.05,20.52,8.21,362.27,362.08,20.14,left,幾何二分法,15,✅,0.4293,8.17,
628-23(2),628-23,R5,b,724.48,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,8.91,423.56,423.6,8.91,right,幾何二分法,16,✅,0.4153,8.87,
628-22(2),628-22,R5,b,890.41,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,11.06,520.56,520.42,19.97,right,幾何二分法,16,✅,0.4155,11.01,
628-21(2),628-21,R5,b,806.84,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,10.12,471.26,471.39,30.09,right,幾何二分法,16,✅,0.4158,10.08,
R5-抵費地,—,R5,—,0.0,4150.21,92.8,45.04,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1929.41,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-41(1),628-41,R2,b,319.3,4368.6,100.03,43.9,1.8386,2.0,1.0,是,是,左側,44.95,5.59,47.54,5.6,169.1,169.29,5.6,left,幾何二分法,18,✅,0.4698,5.59,
628-42(1),628-42,R2,b,8.34,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,5.7,0.63,0.11,4.94,4.75,5.71,left,幾何二分法,18,✅,0.4305,0.11,⚠️移出/第1調配順位
628-40(1),628-40,R2,b,513.93,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,12.25,32.8,6.57,294.99,294.81,12.28,left,幾何二分法,18,✅,0.4264,6.55,
628-30(2),628-30,R2,b,150.3,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,14.19,7.45,1.94,87.03,87.05,14.22,left,幾何二分法,17,✅,0.4208,1.94,⚠️移出/第1調配順位
628-39(1),628-39,R2,b,395.15,4368.6,100.03,43.9,1.8386,2.0,1.0,否,否,—,44.95,19.35,11.54,5.18,232.19,232.03,19.4,left,幾何二分法,17,✅,0.4128,5.17,
