暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628-36(1),628-36,R1,a,1047.0,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,左側,33.25,19.4,100.0,19.46,638.63,638.61,19.46,left,幾何二分法,15,✅,0.3901,19.4,
628-35(2),628-35,R1,b,1255.0,2893.55,87.31,32.97,2.0429,0.0,1.0,否,否,—,33.25,41.71,0.0,22.38,741.9,741.92,41.84,left,幾何二分法,12,✅,0.4088,22.31,
628(5),628,R1,a,553.9,2893.55,87.31,32.97,1.7364,0.0,1.0,是,是,右側,33.27,12.93,83.72,12.97,328.43,328.52,12.97,right,幾何二分法,16,✅,0.4069,12.93,
628-37(1),628-37,R1,a,457.0,2893.55,87.31,32.97,1.7364,0.0,1.0,否,否,—,33.27,21.56,16.28,8.66,286.93,287.01,21.63,right,幾何二分法,16,✅,0.372,8.63,
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,892.35,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,32.97,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.33,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,
628(1),628,R4,a,3146.51,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,左側,33.27,60.71,100.0,60.78,1979.86,1979.75,60.78,left,幾何二分法,18,✅,0.3708,60.72,
628-1(1),628-1,R4,a,949.59,3207.87,98.89,32.59,1.7364,0.0,1.0,是,是,右側,33.08,18.4,100.0,18.42,576.56,576.53,18.42,right,幾何二分法,16,✅,0.3929,18.4,
R4-抵費地,—,R4,—,0.0,3207.87,98.89,32.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,651.44,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-4(1),628-4,R6,b,1295.0,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,16.49,776.9,776.72,16.49,left,幾何二分法,17,✅,0.4002,16.44,
628-21(1),628-21,R6,b,723.48,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,9.33,433.56,433.71,25.82,left,幾何二分法,15,✅,0.4005,9.3,
628-20(1),628-20,R6,b,612.3,3976.3,85.85,44.59,1.8386,2.0,0.0,否,否,—,0.0,0.0,0.0,7.97,366.92,366.93,33.79,left,幾何二分法,17,✅,0.4007,7.94,
628-18(1),628-18,R6,b,551.09,3976.3,85.85,44.59,1.8386,2.0,1.0,是,是,右側,43.38,10.39,72.91,10.43,295.7,295.59,10.43,right,幾何二分法,15,✅,0.4636,10.4,
628-38(1),628-38,R6,b,578.0,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,18.03,27.11,7.66,335.35,335.44,18.09,right,幾何二分法,16,✅,0.4197,7.64,
628-7(1),628-7,R6,b,2496.31,3976.3,85.85,44.59,1.8386,2.0,1.0,否,否,—,43.38,51.28,0.0,33.36,1494.6,1494.39,51.45,right,幾何二分法,16,✅,0.4014,33.25,
R6-抵費地-1,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,187.57,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
R6-抵費地-2,—,R6,—,0.0,3976.3,85.85,44.59,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,85.71,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,
628-18(2),628-18,R5,b,477.91,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,12.72,29.21,6.1,267.35,267.47,12.77,left,幾何二分法,18,✅,0.4403,6.07,
628-7(2),628-7,R5,b,436.69,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,18.32,17.12,5.63,248.31,248.1,18.4,left,幾何二分法,17,✅,0.4319,5.61,
628-20(2),628-20,R5,b,788.19,4150.21,92.8,45.04,1.9407,2.0,1.0,否,否,—,43.53,28.61,0.0,10.33,459.49,459.69,28.73,left,幾何二分法,17,✅,0.4168,10.29,
628-23(2),628-23,R5,b,736.59,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,9.06,430.66,430.68,9.06,right,幾何二分法,14,✅,0.4153,9.02,
628-22(2),628-22,R5,b,891.09,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,11.07,520.95,520.82,20.13,right,幾何二分法,17,✅,0.4155,11.02,
628-21(2),628-21,R5,b,806.84,4150.21,92.8,45.04,1.9407,2.0,0.0,否,否,—,0.0,0.0,0.0,10.12,471.18,471.39,30.25,right,幾何二分法,17,✅,0.4158,10.08,
