情境,歸戶,類,出口,G(a′)輪0(㎡),2×G vs 114.07,Σa(㎡),配額G(㎡),增配面積(㎡),差額地價(元)§52-1,放棄改領(元)§53-2,補償_本文式(元)§53-1,補償_但書式(元),目標塊,資格款,意思決定
0m,G013,公設軌,<½ 現金補償,19.62,<,36.0,,,,,2594110,—(不適用·非申請分割),—,—(公設軌·無原街廓),§53-3 他項權利協調旗(本案空)
0m,G024,公設軌,<½ 現金補償,7.39,<,12.32,,,,,887762,—(不適用·非申請分割),—,—(公設軌·無原街廓),§53-3 他項權利協調旗(本案空)
0m,G028,公設軌,<½ 現金補償,33.35,<,52.0,,,,,3747048,—(不適用·非申請分割),—,—(公設軌·無原街廓),§53-3 他項權利協調旗(本案空)
0m,G014,建地軌·第2梯類,≥½ 配地 G(a′),124.28,≥,228.0,124.28,0.0,,9389493,,,R4,深度較淺,
0m,G033,建地軌·第2梯類,≥½ 配地 G(a′),134.09,≥,246.0,134.09,0.0,,10130649,,,R4,深度較淺,
0m,G020,建地軌·第2梯類,≥½ 配地 G(a′),138.46,≥,246.0,138.46,0.0,,10460808,,,R1,深度較淺,
0m,G018,建地軌·第2梯類,≥½ 配地 G(a′),138.46,≥,245.0,138.46,0.0,,10460808,,,R1,深度較淺,
0m,G004,建地軌·第2梯類,≥½ 配地 G(a′),134.09,≥,246.0,134.09,0.0,,10130649,,,R4,深度較淺,
0m,G031,公設軌·增配出口,增配§31-1-2,116.98,≥,207.0,117.15,0.17,12844,8837970,,,R1,公設軌·全塊(手冊(三)),增配>0·試分配預設自動
0m,G015,公設軌·增配出口,增配§31-1-2,114.73,≥,203.0,117.18,2.45,185100,8667980,,,R1,公設軌·全塊(手冊(三)),增配>0·試分配預設自動
