情境,段,歸戶,源,源塊,目標宗,目標塊,級別,起迄距(m),a源(㎡),模式一a′(㎡),模式二a′(㎡),a″引擎(㎡),配額G(㎡),處置
0m,E0級1,G007,628-30(2),R2,628-45(2),R3,級1(同歸戶),,150.3,150.3,149.85,150.3,,併入(§7-1級1)
0m,E0級1,G011,628-42(1),R2,628-42(2),R3,級1(同歸戶),,8.34,8.34,8.31,8.34,,併入(§7-1級1)
0m,E0級1,G006,628-49(1),R2,628-48(1),R3,級1(同歸戶),,109.39,109.39,109.06,109.39,,併入(§7-1級1)
0m,E1·7-4,G003,公設群(11筆),G1,74·G003@R5,R5,級1相鄰,63.0,1882.0,—(無同歸戶目標地),1863.18,1863.18,1130.78,7-4 配地(模式二)
0m,E1·7-4,G012,公設群(2筆),G1,74·G012@R2,R2,級1相鄰,188.7,267.55,—(無同歸戶目標地),267.55,267.55,157.58,7-4 配地(模式二)
0m,E1·7-4,G016,公設群(3筆),G1,74·G016@R2,R2,級1相鄰,166.9,1096.88,—(無同歸戶目標地),1096.88,1096.88,645.96,7-4 配地(模式二)
0m,E1·7-4,G016,公設群(3筆),G1,74·G016@R5,R5,級1相鄰,88.9,659.78,—(無同歸戶目標地),653.18,653.18,396.9,7-4 配地(模式二)
0m,E1·7-4,G016,公設群(3筆),G1,74·G016@R6,R6,級1相鄰,82.7,314.89,—(無同歸戶目標地),311.57,311.57,180.15,7-4 配地(模式二)
0m,E1·7-4,G025,公設群(3筆),G1,74·G025@R2,R2,級1相鄰,97.8,527.8,—(無同歸戶目標地),527.8,527.8,310.88,7-4 配地(模式二)
0m,E1·7-4,G025,公設群(3筆),G1,74·G025@R3,R3,級1相鄰,77.5,622.98,—(無同歸戶目標地),621.1,621.1,375.47,7-4 配地(模式二)
0m,E2·7-5,G014,628-29(1),R3,74·G014@R4,R4,7-5批次最佳化,124.7,228.0,—,193.8,193.8,124.83,7-5 配地
0m,E2·7-5,G033,628-46(1),R3,74·G033@R4,R4,7-5批次最佳化,100.8,246.0,—,209.1,209.1,134.69,7-5 配地
0m,E2·7-5,G020,628-50(1),R2,74·G020@R1,R1,7-5批次最佳化,37.3,246.0,—,222.97,222.97,135.6,7-5 配地
0m,E2·7-5,G018,628-51(1),R2,74·G018@R1,R1,7-5批次最佳化,40.0,245.0,—,222.07,222.07,138.44,7-5 配地
0m,E2·7-5,G004,628-52(1),R2,74·G004@R1,R1,7-5批次最佳化,42.7,246.0,—,222.97,222.97,139.71,7-5 配地
0m,E2·7-5,G031,公設群餘量,G1,74·G031@R1,R1,7-5批次最佳化,140.6,207.0,—,187.62,187.62,117.56,7-5 配地
0m,E2·7-5,G015,公設群餘量,G1,74·G015@R1,R1,7-5批次最佳化,198.8,203.0,—,184.0,187.01,117.18,7-5 增配
