情境,段,歸戶,源,源塊,目標宗,目標塊,級別,起迄距(m),a源(㎡),模式一a′(㎡),模式二a′(㎡),a″引擎(㎡),配額G(㎡),處置
3.5m,E0級1,G007,628-30(2),R2,628-45(2),R3,級1(同歸戶),,150.3,150.3,149.85,150.3,,併入(§7-1級1)
3.5m,E0級1,G011,628-42(1),R2,628-42(2),R3,級1(同歸戶),,8.34,8.34,8.31,8.34,,併入(§7-1級1)
3.5m,E0級1,G006,628-49(1),R2,628-48(1),R3,級1(同歸戶),,109.39,109.39,109.06,109.39,,併入(§7-1級1)
3.5m,E1·7-4,G003,公設群(11筆),G1,74·G003@R1,R1,級3非鄰近,152.1,207.27,—(無同歸戶目標地),187.87,187.87,117.14,7-4 配地(模式二)
3.5m,E1·7-4,G003,公設群(11筆),G1,74·G003@R2,R2,級1相鄰,128.2,326.21,—(無同歸戶目標地),326.21,326.21,191.08,7-4 配地(模式二)
3.5m,E1·7-4,G003,公設群(11筆),G1,74·G003@R5,R5,級1相鄰,65.6,1350.35,—(無同歸戶目標地),1336.84,1336.84,807.99,7-4 配地(模式二)
3.5m,E1·7-4,G012,公設群(2筆),G1,74·G012@R1,R1,級3非鄰近,155.6,261.0,—(無同歸戶目標地),236.57,236.57,143.2,7-4 配地(模式二)
3.5m,E1·7-4,G016,公設群(3筆),G1,74·G016@R1,R1,級3非鄰近,184.0,378.38,—(無同歸戶目標地),342.96,342.96,213.27,7-4 配地(模式二)
3.5m,E1·7-4,G016,公設群(3筆),G1,74·G016@R2,R2,級1相鄰,168.3,1341.22,—(無同歸戶目標地),1341.22,1341.22,785.8,7-4 配地(模式二)
3.5m,E1·7-4,G016,公設群(3筆),G1,74·G016@R6,R6,級1相鄰,82.6,351.95,—(無同歸戶目標地),348.24,348.24,200.23,7-4 配地(模式二)
3.5m,E1·7-4,G025,公設群(3筆),G1,74·G025@R1,R1,級3非鄰近,144.0,325.09,—(無同歸戶目標地),294.66,294.66,183.72,7-4 配地(模式二)
3.5m,E1·7-4,G025,公設群(3筆),G1,74·G025@R5,R5,級1相鄰,81.3,825.69,—(無同歸戶目標地),817.43,817.43,494.33,7-4 配地(模式二)
3.5m,E2·7-5,G014,628-29(1),R3,74·G014@R4,R4,7-5批次最佳化,120.3,228.0,—,193.8,193.8,124.28,7-5 配地
3.5m,E2·7-5,G033,628-46(1),R3,74·G033@R4,R4,7-5批次最佳化,100.7,246.0,—,209.1,209.1,134.09,7-5 配地
3.5m,E2·7-5,G020,628-50(1),R2,74·G020@R3,R3,7-5批次最佳化,89.8,246.0,—,245.26,259.8,156.29,7-5 增配
3.5m,E2·7-5,G018,628-51(1),R2,74·G018@R4,R4,7-5批次最佳化,145.2,245.0,—,208.25,208.25,133.54,7-5 配地
3.5m,E2·7-5,G004,628-52(1),R2,74·G004@R3,R3,7-5批次最佳化,84.2,246.0,—,245.26,264.53,158.19,7-5 增配
3.5m,E2·7-5,G031,公設群餘量,G1,74·G031@R4,R4,7-5批次最佳化,162.6,207.0,—,175.95,181.98,116.7,7-5 增配
3.5m,E2·7-5,G015,公設群餘量,G1,74·G015@R2,R2,7-5批次最佳化,185.6,203.0,—,203.0,269.05,157.64,7-5 增配
