情境,街廓,暫編地號,角色,G_E(㎡),新形面積(㎡),S_E(m),S_new(m),宗地寬度_new(m),Δ面積(㎡)
0m,R1,628-37(1),標的(吞楔形·left),272.84,272.84,8.43,8.27,8.24,-0.003
0m,R1,628-35(2),前移,730.8,730.8,22.04,22.04,21.97,-0.002
0m,R1,74·G015@R1,前移,117.19,117.19,3.54,3.54,3.52,0.001
0m,R1,628(5),對側·未動,328.52,328.43,12.97,12.97,12.93,
0m,R1,74·G020@R1,對側·未動,134.33,134.18,4.05,4.05,4.04,
0m,R1,74·G018@R1,對側·未動,137.07,137.17,4.14,4.14,4.13,
0m,R1,74·G004@R1,對側·未動,138.44,138.51,4.18,4.18,4.17,
0m,R1,74·G031@R1,對側·未動,117.15,117.3,3.54,3.54,3.53,
0m,R1,628-36(1),對側·未動,668.82,668.8,20.18,20.18,20.11,
0m,R3,628-45(2),標的(吞楔形·right),614.12,614.12,13.84,12.09,12.04,-0.005
0m,R3,628-42(2),前移,444.02,444.02,9.95,9.95,9.9,-0.003
0m,R3,628-30(3),前移,486.96,486.96,10.94,10.94,10.89,0.003
0m,R3,628-31(3),前移,451.22,451.22,10.17,10.16,10.12,0.002
0m,R3,628-34(2),對側·未動,257.91,257.76,5.89,5.89,5.86,
0m,R3,628-48(1),對側·未動,429.59,429.79,9.8,9.8,9.76,
0m,R3,628-32(3),對側·未動,497.29,497.45,11.31,11.31,11.26,
0m,R3,74·G025@R3,對側·未動,511.31,511.37,11.59,11.59,11.54,
0m,R6,628-4(1),標的(吞楔形·left),776.72,776.72,16.49,14.65,14.61,-0.001
0m,R6,628-21(1),前移,433.71,433.71,9.33,9.31,9.28,-0.003
0m,R6,628-20(1),前移,366.93,366.93,7.97,7.95,7.93,-0.001
0m,R6,628-18(1),對側·未動,295.59,295.7,10.43,10.43,10.4,
0m,R6,628-38(1),對側·未動,335.44,335.35,7.66,7.66,7.64,
0m,R6,628-7(1),對側·未動,1494.39,1494.6,33.36,33.36,33.25,
