情境,街廓,暫編地號,街角地,第1筆街角,街角側別,min_t,max_t,凸性Δ(㎡),寬度(m),臨街邊長(m),E-6差(m),判定
0m,R1,628-37(1),是,是,左側,1.272e-05,33.1628,0.000000,—,2.8261,—,街角·K-4 面積門檻蘊含（N-14 不適用）
0m,R1,628-35(2),否,否,—,2.136e-05,33.1602,0.000000,18.1027,18.1027,4.478e-06,臨街(法定粒度內)
0m,R1,628(5),是,是,右側,2.475e-04,33.1300,0.000000,—,3.4643,—,街角·K-4 面積門檻蘊含（N-14 不適用）
0m,R1,628-34(3),否,否,—,2.395e-04,33.1310,-0.000000,2.5959,2.5959,6.422e-07,臨街(法定粒度內)
0m,R1,628-36(1),否,否,—,1.845e-04,33.1384,0.000000,17.9953,17.9953,4.452e-06,臨街(法定粒度內)
0m,R2,628-40(1),是,是,左側,3.507e-06,44.9543,0.000000,—,4.6051,—,街角·K-4 面積門檻蘊含（N-14 不適用）
0m,R2,628-42(1),否,否,—,3.503e-06,44.9081,0.000000,0.1058,0.1058,2.766e-10,臨街(法定粒度內)
0m,R2,628-41(1),否,否,—,3.347e-06,44.9070,-0.000000,4.0767,4.0767,1.110e-08,臨街(法定粒度內)
0m,R2,628-27(1),否,否,—,3.322e-06,44.8673,-0.000000,0.6590,0.6590,1.872e-09,臨街(法定粒度內)
0m,R2,628-43(1),否,否,—,3.322e-06,44.8609,0.000000,0.0060,0.0060,9.195e-12,臨街(法定粒度內)
0m,R2,628-30(2),否,否,—,3.248e-06,44.8609,-0.000000,1.9369,1.9369,5.222e-09,臨街(法定粒度內)
0m,R2,628-39(1),否,否,—,3.051e-06,44.8420,-0.000000,5.1450,5.1450,1.389e-08,臨街(法定粒度內)
0m,R2,628-31(2),否,否,—,2.718e-06,44.7920,0.000000,8.7529,8.7529,2.363e-08,臨街(法定粒度內)
0m,R2,628-35(1),否,否,—,0.000e+00,44.0269,0.000000,1.3389,1.3389,3.624e-09,臨街(法定粒度內)
0m,R2,628-34(1),否,否,—,5.123e-08,44.1223,-0.000000,9.8039,9.8039,2.645e-08,臨街(法定粒度內)
0m,R2,628-49(1),否,否,—,4.254e-07,44.1367,-0.000000,1.4831,1.4831,3.998e-09,臨街(法定粒度內)
0m,R2,628-50(1),否,否,—,4.818e-07,44.1692,-0.000000,3.3335,3.3335,9.044e-09,臨街(法定粒度內)
0m,R2,628-51(1),否,否,—,6.092e-07,44.2014,0.000000,3.3174,3.3174,8.986e-09,臨街(法定粒度內)
0m,R2,628-52(1),否,否,—,7.358e-07,44.2172,-0.000000,1.6193,1.6193,4.386e-09,臨街(法定粒度內)
0m,R2,628-32(2),否,否,—,7.977e-07,44.3133,0.000000,9.8729,9.8729,2.671e-08,臨街(法定粒度內)
0m,R4,628(1),是,是,左側,-7.169e-03,33.1243,0.000000,—,43.2113,—,街角·K-4 面積門檻蘊含（N-14 不適用）
0m,R4,628-1(1),是,是,右側,-1.483e-02,33.0893,0.000000,—,0.0000,—,街角·K-4 面積門檻蘊含（N-14 不適用）
