情境,街廓,暫編地號,街角地,第1筆街角,街角側別,min_t,max_t,凸性Δ(㎡),寬度(m),臨街邊長(m),E-6差(m),判定
3.5m,R1,628-36(1),是,是,左側,1.272e-05,33.1628,0.000000,—,13.9164,—,街角·K-4 面積門檻蘊含（N-14 不適用）
3.5m,R1,628(5),是,是,右側,2.475e-04,33.1300,0.000000,—,3.4644,—,街角·K-4 面積門檻蘊含（N-14 不適用）
3.5m,R1,628-34(3),否,否,—,2.395e-04,33.1310,-0.000000,2.5959,2.5959,6.422e-07,臨街(法定粒度內)
3.5m,R1,628-37(1),否,否,—,2.196e-04,33.1337,0.000000,6.5298,6.5298,1.615e-06,臨街(法定粒度內)
3.5m,R1,628-35(2),否,否,—,1.631e-04,33.1412,-0.000000,18.4880,18.4880,4.574e-06,臨街(法定粒度內)
3.5m,R2,628-42(1),否,否,—,3.417e-06,44.8863,0.000000,0.1063,0.1063,2.735e-10,臨街(法定粒度內)
3.5m,R2,628-41(1),否,否,—,3.261e-06,44.8852,-0.000000,4.1002,4.1002,1.106e-08,臨街(法定粒度內)
3.5m,R2,628-27(1),否,否,—,3.236e-06,44.8453,0.000000,0.6629,0.6629,1.832e-09,臨街(法定粒度內)
3.5m,R2,628-40(1),否,否,—,2.978e-06,44.8389,-0.000000,6.7377,6.7377,1.829e-08,臨街(法定粒度內)
3.5m,R2,628-43(1),否,否,—,2.978e-06,44.7733,0.000000,0.0060,0.0060,8.368e-12,臨街(法定粒度內)
3.5m,R2,628-30(2),否,否,—,2.901e-06,44.7732,0.000000,2.0100,2.0100,5.436e-09,臨街(法定粒度內)
3.5m,R2,628-39(1),否,否,—,2.700e-06,44.7537,0.000000,5.2883,5.2883,1.427e-08,臨街(法定粒度內)
3.5m,R2,628-31(2),否,否,—,2.365e-06,44.7022,-0.000000,8.7697,8.7697,2.383e-08,臨街(法定粒度內)
3.5m,R2,628-35(1),否,否,—,0.000e+00,44.0269,0.000000,1.3392,1.3392,3.623e-09,臨街(法定粒度內)
3.5m,R2,628-34(1),否,否,—,5.122e-08,44.1223,-0.000000,9.8042,9.8042,2.647e-08,臨街(法定粒度內)
3.5m,R2,628-49(1),否,否,—,4.254e-07,44.1367,0.000000,1.4829,1.4829,3.988e-09,臨街(法定粒度內)
3.5m,R2,628-50(1),否,否,—,4.819e-07,44.1692,0.000000,3.3335,3.3335,9.000e-09,臨街(法定粒度內)
3.5m,R2,628-51(1),否,否,—,6.091e-07,44.2014,0.000000,3.3174,3.3174,8.959e-09,臨街(法定粒度內)
3.5m,R2,628-52(1),否,否,—,7.358e-07,44.2172,-0.000000,1.6197,1.6197,4.502e-09,臨街(法定粒度內)
3.5m,R2,628-32(2),否,否,—,7.977e-07,44.3133,0.000000,9.8727,9.8727,2.664e-08,臨街(法定粒度內)
3.5m,R4,628(1),是,是,左側,-7.169e-03,33.1243,0.000000,—,43.2113,—,街角·K-4 面積門檻蘊含（N-14 不適用）
