測項,違規列序,違規全文
自檢,0,"[自檢] 多列 ('R5', '左', '628-53(2)')"
自檢,1,"[自檢] ('R4', '左', '628(1)') 欄「真交集(㎡)」: baseline='999.99' got='109.15'"
自檢,2,"[自檢] ('R4', '右', '628-1(1)') 欄「選中」: baseline='' got='✅'"
參數0m,0,"[參數0m] ('R1',) 欄「街廓分配深度(m)」: baseline='32.97' got=33.15"
參數0m,1,"[參數0m] ('R2',) 欄「街廓分配深度(m)」: baseline='43.9' got=44.47"
參數0m,2,"[參數0m] ('R3',) 欄「街廓分配深度(m)」: baseline='43.64' got=44.34"
參數0m,3,"[參數0m] ('R4',) 欄「街廓分配深度(m)」: baseline='32.59' got=33.1"
參數0m,4,"[參數0m] ('R5',) 欄「街廓分配深度(m)」: baseline='45.04' got=45.71"
參數0m,5,"[參數0m] ('R6',) 欄「街廓分配深度(m)」: baseline='44.59' got=45.51"
參數3.5m,0,"[參數3.5m] ('R1',) 欄「街廓分配深度(m)」: baseline='32.97' got=33.15"
參數3.5m,1,"[參數3.5m] ('R2',) 欄「街廓分配深度(m)」: baseline='43.9' got=44.47"
參數3.5m,2,"[參數3.5m] ('R3',) 欄「街廓分配深度(m)」: baseline='43.64' got=44.34"
參數3.5m,3,"[參數3.5m] ('R4',) 欄「街廓分配深度(m)」: baseline='32.59' got=33.1"
參數3.5m,4,"[參數3.5m] ('R5',) 欄「街廓分配深度(m)」: baseline='45.04' got=45.71"
參數3.5m,5,"[參數3.5m] ('R6',) 欄「街廓分配深度(m)」: baseline='44.59' got=45.51"
v3·G值0m,0,"[v3·G值0m] ('R1', '628-37(1)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值0m,1,"[v3·G值0m] ('R1', '628-35(2)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值0m,2,"[v3·G值0m] ('R1', '628(5)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值0m,3,"[v3·G值0m] ('R1', '628-34(3)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值0m,4,"[v3·G值0m] ('R1', '628-36(1)') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值0m,5,"[v3·G值0m] ('R1', 'R1-抵費地-1') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值0m,6,"[v3·G值0m] ('R1', 'R1-抵費地-2') 欄「平均深度(m)」: baseline='32.97' got=33.15"
v3·G值0m,7,"[v3·G值0m] ('R2', '628-41(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,8,"[v3·G值0m] ('R2', '628-42(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,9,"[v3·G值0m] ('R2', '628-27(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,10,"[v3·G值0m] ('R2', '628-40(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,11,"[v3·G值0m] ('R2', '628-43(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,12,"[v3·G值0m] ('R2', '628-30(2)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,13,"[v3·G值0m] ('R2', '628-39(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,14,"[v3·G值0m] ('R2', '628-31(2)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,15,"[v3·G值0m] ('R2', '628-35(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,16,"[v3·G值0m] ('R2', '628-34(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,17,"[v3·G值0m] ('R2', '628-49(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,18,"[v3·G值0m] ('R2', '628-50(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,19,"[v3·G值0m] ('R2', '628-51(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,20,"[v3·G值0m] ('R2', '628-52(1)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,21,"[v3·G值0m] ('R2', '628-32(2)') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,22,"[v3·G值0m] ('R2', 'R2-抵費地') 欄「平均深度(m)」: baseline='43.9' got=44.47"
v3·G值0m,23,"[v3·G值0m] ('R4', '628(1)') 欄「平均深度(m)」: baseline='32.59' got=33.1"
v3·G值0m,24,"[v3·G值0m] ('R4', '628-1(1)') 欄「平均深度(m)」: baseline='32.59' got=33.1"
v3·G值0m,25,"[v3·G值0m] ('R4', 'R4-抵費地') 欄「平均深度(m)」: baseline='32.59' got=33.1"
v3·G值0m,26,"[v3·G值0m] ('R6', '628(2)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
v3·G值0m,27,"[v3·G值0m] ('R6', '628-1(2)') 欄「平均深度(m)」: baseline='44.59' got=45.51"
