測項,違規列序,違規全文
自檢,0,"[自檢] 多列 ('R5', '左', '628-53(2)')"
自檢,1,"[自檢] ('R4', '左', '628(1)') 欄「真交集(㎡)」: baseline='999.99' got='109.15'"
自檢,2,"[自檢] ('R4', '右', '628-1(1)') 欄「選中」: baseline='' got='✅'"
參數0m,0,"[參數0m] ('R1',) 欄「街廓分配深度(m)」: baseline='32.97' got=33.15"
參數0m,1,"[參數0m] ('R1',) 欄「【左】街角最小面積(㎡)」: baseline='109.79' got=114.76"
參數0m,2,"[參數0m] ('R1',) 欄「【右】街角最小面積(㎡)」: baseline='110.56' got=116.84"
參數0m,3,"[參數0m] ('R2',) 欄「街廓分配深度(m)」: baseline='43.9' got=44.47"
參數0m,4,"[參數0m] ('R2',) 欄「【左】街角最小面積(㎡)」: baseline='151.44' got=225.69"
參數0m,5,"[參數0m] ('R3',) 欄「街廓分配深度(m)」: baseline='43.64' got=44.34"
參數0m,6,"[參數0m] ('R3',) 欄「【右】街角最小面積(㎡)」: baseline='152.82' got=226.91"
參數0m,7,"[參數0m] ('R4',) 欄「街廓分配深度(m)」: baseline='32.59' got=33.1"
參數0m,8,"[參數0m] ('R4',) 欄「【左】街角最小面積(㎡)」: baseline='109.2' got=135.15"
參數0m,9,"[參數0m] ('R4',) 欄「【右】街角最小面積(㎡)」: baseline='109.7' got=137.03"
參數0m,10,"[參數0m] ('R5',) 欄「街廓分配深度(m)」: baseline='45.04' got=45.71"
參數0m,11,"[參數0m] ('R5',) 欄「【左】街角最小面積(㎡)」: baseline='146.93' got=225.24"
參數0m,12,"[參數0m] ('R6',) 欄「街廓分配深度(m)」: baseline='44.59' got=45.51"
參數0m,13,"[參數0m] ('R6',) 欄「【右】街角最小面積(㎡)」: baseline='146.38' got=145.88"
參數3.5m,0,"[參數3.5m] ('R1',) 欄「街廓分配深度(m)」: baseline='32.97' got=33.15"
參數3.5m,1,"[參數3.5m] ('R1',) 欄「【左】街角最小面積(㎡)」: baseline='226.18' got=230.81"
參數3.5m,2,"[參數3.5m] ('R1',) 欄「【右】街角最小面積(㎡)」: baseline='226.88' got=232.79"
參數3.5m,3,"[參數3.5m] ('R2',) 欄「街廓分配深度(m)」: baseline='43.9' got=44.47"
參數3.5m,4,"[參數3.5m] ('R2',) 欄「【左】街角最小面積(㎡)」: baseline='309.05' got=382.85"
參數3.5m,5,"[參數3.5m] ('R3',) 欄「街廓分配深度(m)」: baseline='43.64' got=44.34"
參數3.5m,6,"[參數3.5m] ('R3',) 欄「【右】街角最小面積(㎡)」: baseline='308.93' got=383.67"
參數3.5m,7,"[參數3.5m] ('R4',) 欄「街廓分配深度(m)」: baseline='32.59' got=33.1"
參數3.5m,8,"[參數3.5m] ('R4',) 欄「【左】街角最小面積(㎡)」: baseline='225.25' got=251.08"
參數3.5m,9,"[參數3.5m] ('R4',) 欄「【右】街角最小面積(㎡)」: baseline='225.67' got=252.88"
參數3.5m,10,"[參數3.5m] ('R5',) 欄「街廓分配深度(m)」: baseline='45.04' got=45.71"
參數3.5m,11,"[參數3.5m] ('R5',) 欄「【左】街角最小面積(㎡)」: baseline='300.52' got=378.47"
參數3.5m,12,"[參數3.5m] ('R6',) 欄「街廓分配深度(m)」: baseline='44.59' got=45.51"
參數3.5m,13,"[參數3.5m] ('R6',) 欄「【右】街角最小面積(㎡)」: baseline='299.13' got=298.14"
v3·診斷0m,0,"[v3·診斷0m] 多列 ('R5', '左', '628-7(2)')"
v3·診斷0m,1,"[v3·診斷0m] 多列 ('R2', '左', '628-40(1)')"
v3·診斷0m,2,"[v3·診斷0m] ('R4', '左', '628(1)') 欄「真交集(㎡)」: baseline='109.15' got=135.05"
v3·診斷0m,3,"[v3·診斷0m] ('R4', '左', '628(1)') 欄「範圍面積(㎡)」: baseline='109.2' got=135.15"
v3·診斷0m,4,"[v3·診斷0m] ('R4', '左', '628(1)') 欄「門檻(㎡)」: baseline='109.2' got=135.15"
v3·診斷0m,5,"[v3·診斷0m] ('R4', '右', '628-1(1)') 欄「真交集(㎡)」: baseline='109.65' got=136.93"
v3·診斷0m,6,"[v3·診斷0m] ('R4', '右', '628-1(1)') 欄「範圍面積(㎡)」: baseline='109.7' got=137.03"
v3·診斷0m,7,"[v3·診斷0m] ('R4', '右', '628-1(1)') 欄「門檻(㎡)」: baseline='109.7' got=137.03"
v3·診斷0m,8,"[v3·診斷0m] ('R6', '右', '628-18(1)') 欄「真交集(㎡)」: baseline='16.81' got=16.67"
v3·診斷0m,9,"[v3·診斷0m] ('R6', '右', '628-18(1)') 欄「範圍面積(㎡)」: baseline='146.38' got=145.88"
v3·診斷0m,10,"[v3·診斷0m] ('R6', '右', '628-18(1)') 欄「門檻(㎡)」: baseline='146.38' got=145.88"
v3·診斷0m,11,"[v3·診斷0m] ('R6', '右', '628-38(1)') 欄「真交集(㎡)」: baseline='129.13' got=128.78"
v3·診斷0m,12,"[v3·診斷0m] ('R6', '右', '628-38(1)') 欄「範圍面積(㎡)」: baseline='146.38' got=145.88"
