街廓,端,候選地號,原地號,真交集(㎡),整筆幾何(㎡),範圍面積(㎡),G估(㎡),真G(㎡),門檻(㎡),範圍=門檻?,項三比(≤1),達標,截角邊(range),臨截角,側街邊(range),臨側街,正街角分(0.4),側街分(0.2),跨占分(0.4),總分,原位次(投影序),選中
R4,左,628(1),628,225.76,2437.61,226.01,1463.07,1521.05,226.01,✅,0.9989,達標,5,4.9,29.556,29.556,0.392,0.2,0.3996,0.9916,1,✅
R4,右,628-1(1),628-1,225.19,762.17,225.42,457.8,457.73,225.42,✅,0.999,達標,5,4.911,29.556,29.556,0.3929,0.2,0.3996,0.9925,3,✅
R6,右,628-18(1),628-18,98.02,554.75,299.13,333.35,307.79,299.13,✅,0.3277,達標,5,0,39.98,0,0.0,0.0,0.1311,0.1311,6,✅
R6,右,628-38(1),628-38,200.61,204.63,299.13,123.28,111.64,299.13,✅,0.6706,未達標,5,5,39.98,39.439,—,—,—,—,7,
R5,左,628-45(1)+,628-45,21.73,636.1,299.73,382.16,346.17,299.73,✅,0.0725,達標,5,5,39.982,0.33,0.4,0.0017,0.029,0.4306,4,✅
R5,左,628-7(2),628-7,4.05,438.11,299.73,263.37,236.28,299.73,✅,0.0135,未達標,5,0,39.982,0,—,—,—,—,3,
R5,左,628-18(2),628-18,271.17,383.62,299.73,230.67,205.49,299.73,✅,0.9047,未達標,5,0,39.982,33.921,—,—,—,—,2,
R5,左,628-53(2),628-53,2.79,2.79,299.73,2.17,1.39,299.73,✅,0.0093,未達標,5,0,39.982,5.731,—,—,—,—,1,
R2,左,628-42(1),628-42,8.3,8.3,308.17,5.48,4.28,308.17,✅,0.0269,未達標,5,0,41.411,8.521,—,—,—,—,1,
R2,左,628-41(1),628-41,260.73,319.23,308.17,192.04,175.95,308.17,✅,0.8461,未達標,5,5,41.411,32.89,—,—,—,—,2,
R2,左,628-40(1)+,628-40,14.35,513.79,308.17,308.77,286.65,308.17,✅,0.0466,未達標,5,0,41.411,0,—,—,—,—,4,
R2,左,628-27(1),628-27,24.79,51.37,308.17,31.32,26.34,308.17,✅,0.0804,未達標,5,0,41.411,0,—,—,—,—,3,
R3,右,628-30(3)+,628-30,112.35,1145.26,307.79,687.66,633.33,307.79,✅,0.365,達標,4.939,4.939,41.42,13.157,0.4,0.0635,0.146,0.6095,7,✅
R3,右,628-42(2),628-42,147.8,152.74,307.79,92.14,80.07,307.79,✅,0.4802,未達標,4.939,0,41.42,28.263,—,—,—,—,10,
R3,右,628-27(2),628-27,21.71,46.72,307.79,28.53,23.34,307.79,✅,0.0705,未達標,4.939,0,41.42,0,—,—,—,—,9,
R3,右,628-29(1)+,628-29,25.93,228.95,307.79,137.87,120.98,307.79,✅,0.0842,未達標,4.939,0,41.42,0,—,—,—,—,8,
R1,左,628-36(1),628-36,86.87,952.01,226.01,571.71,575.73,226.01,✅,0.3844,達標,5,0,29.579,12.417,0.0,0.084,0.1537,0.2377,4,✅
R1,左,628-35(2),628-35,67.45,1045.05,226.01,627.53,584.19,226.01,✅,0.2984,達標,5,0,29.579,8.952,0.0,0.0605,0.1194,0.1799,1,
R1,左,628-37(1),628-37,71.47,353.85,226.01,212.81,208.16,226.01,✅,0.3162,未達標,5,4.912,29.579,8.209,—,—,—,—,3,
R1,右,628(5),628,226.88,384.36,227.13,231.12,227.73,227.13,✅,0.9989,達標,5.033,4.932,29.843,29.843,0.392,0.2,0.3996,0.9915,6,✅
