暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標,驗_A幾何,驗_A_W,驗_A_D,驗_A_命中角,驗_A_理由,驗_B藍影,驗_B_G,驗_B_藍影面積,驗_B_Δ,驗_B_臨正街,驗_B_臨屁股,驗_C面積,驗_C_G,驗_C_e,驗_C_街角範圍面積,驗_C_門檻,驗_C_Δ,驗_總判,驗_rejected,驗_鏈,驗_宗序,驗_不可判輸入
628-37(1),628-37,R1,a,350.76,2893.55,87.31,33.15,1.7364,0.0,1.0,是,是,左側,33.25,6.46,52.64,6.48,208.16,208.16,6.48,left,幾何二分法,17,✅,0.4065,6.46,,不適用,—,—,—,—,不適用,208.16,—,—,—,—,合格,208.16,0.0,114.939693,114.939693,93.220307,保留,False,left,街角第1宗,—
628-35(2),628-35,R1,b,1039.0,2893.55,87.31,33.15,2.0429,0.0,1.0,否,否,—,33.25,24.49,47.38,17.93,599.91,599.91,24.41,left,幾何二分法,17,✅,0.4226,17.87,,合格,3.5,14.0,0.0,容納（命中角度 0.000000°）,合格,599.91,5.385368,594.524632,17.932855,18.257042,不適用,599.91,0.0,114.939693,—,—,保留,False,left,第2宗,—
628(5),628,R1,a,382.91,2893.55,87.31,33.15,1.7364,0.0,1.0,是,是,右側,33.27,7.02,55.8,7.45,227.73,227.73,7.45,right,幾何二分法,17,✅,0.4053,7.43,,不適用,—,—,—,—,不適用,227.73,—,—,—,—,合格,227.73,0.0,110.676142,110.676142,117.053858,保留,False,right,街角第1宗,—
628-34(3),628-34,R1,b,152.34,2893.55,87.31,33.15,2.0429,0.0,1.0,否,否,—,33.27,9.61,13.43,2.39,86.0,86.0,9.85,right,幾何二分法,17,✅,0.4355,2.38,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 364 個角度皆不可容納,合格,86.0,6.666544,79.333456,2.396449,2.798839,不適用,86.0,0.0,110.676142,—,—,剔除,True,right,第2宗,—
628-36(1),628-36,R1,a,947.97,2893.55,87.31,33.15,1.7364,0.0,1.0,否,否,—,33.27,27.55,30.77,18.0,596.26,596.26,27.84,right,幾何二分法,14,✅,0.371,17.94,,合格,3.5,14.0,0.0,容納（命中角度 0.000000°）,不適用,596.26,—,—,—,—,不適用,596.26,0.0,110.676142,—,—,保留,False,right,其後,—
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,33.15,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1175.49,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,33.15,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,,,,,,,,,,,,,,,,,,,,,,,
628-41(1),628-41,R2,b,319.3,4368.6,100.03,44.47,1.8386,2.0,1.0,是,是,左側,44.95,4.06,38.14,4.06,175.95,175.95,7.45,left,幾何二分法,16,✅,0.449,4.05,,不適用,—,—,—,—,不適用,175.95,—,—,—,—,合格,175.95,0.0,152.986677,152.986677,22.963323,保留,False,left,街角第1宗,—
628-40(1)+,628-40,R2,b,513.93,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,13.78,48.78,8.06,285.57,285.56,15.51,left,幾何二分法,15,✅,0.4444,8.04,,合格,3.5,14.0,28.5,容納（命中角度 28.500000°）,合格,285.56,76.222438,209.337562,8.062513,4.675117,不適用,285.56,0.0,152.986677,—,—,保留,False,left,第2宗,—
628-30(2),628-30,R2,b,150.3,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,15.72,6.57,1.95,87.4,87.4,17.46,left,幾何二分法,18,✅,0.4185,1.95,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,87.4,—,—,—,—,不適用,87.4,0.0,152.986677,—,—,剔除,True,left,其後,—
