暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標,驗_A幾何,驗_A_W,驗_A_D,驗_A_命中角,驗_A_理由,驗_B藍影,驗_B_G,驗_B_藍影面積,驗_B_Δ,驗_B_臨正街,驗_B_臨屁股,驗_C面積,驗_C_G,驗_C_e,驗_C_街角範圍面積,驗_C_門檻,驗_C_Δ,驗_總判,驗_rejected,驗_鏈,驗_宗序,驗_不可判輸入
628-36(1),628-36,R1,a,947.97,2893.55,87.31,33.15,1.7364,0.0,1.0,是,是,左側,33.25,17.52,98.75,17.56,575.73,575.73,17.56,left,幾何二分法,9,✅,0.3927,17.5,,不適用,—,—,—,—,不適用,575.73,—,—,—,—,合格,575.73,0.0,226.0114,226.0114,349.7186,保留,False,left,街角第1宗,—
628(5),628,R1,a,382.91,2893.55,87.31,33.15,1.7364,0.0,1.0,是,是,右側,33.27,7.02,55.8,7.45,227.74,227.73,7.45,right,幾何二分法,16,✅,0.4053,7.43,,不適用,—,—,—,—,不適用,227.73,—,—,—,—,合格,227.73,0.0,227.128484,227.128484,0.601516,保留,False,right,街角第1宗,—
628-34(3),628-34,R1,b,152.34,2893.55,87.31,33.15,2.0429,0.0,1.0,否,否,—,33.27,9.61,13.44,2.39,86.0,86.0,9.85,right,幾何二分法,16,✅,0.4355,2.38,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 364 個角度皆不可容納,合格,86.0,6.667126,79.332874,2.396671,2.79906,不適用,86.0,0.0,227.128484,—,—,剔除,True,right,第2宗,—
628-37(1),628-37,R1,a,350.76,2893.55,87.31,33.15,1.7364,0.0,1.0,否,否,—,33.27,16.12,25.54,6.53,216.34,216.34,16.38,right,幾何二分法,13,✅,0.3832,6.51,,合格,3.5,14.0,125.5,容納（命中角度 125.500000°）,不適用,216.34,—,—,—,—,不適用,216.34,0.0,227.128484,—,—,保留,False,right,其後,—
628-35(2),628-35,R1,b,1039.0,2893.55,87.31,33.15,2.0429,0.0,1.0,否,否,—,33.27,34.55,5.24,18.49,612.64,612.64,34.86,right,幾何二分法,17,✅,0.4104,18.43,,合格,3.5,14.0,0.0,容納（命中角度 0.000000°）,不適用,612.64,—,—,—,—,不適用,612.64,0.0,227.128484,—,—,保留,False,right,其後,—
R1-抵費地-1,—,R1,—,0.0,2893.55,87.31,33.15,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,1169.71,0.0,0.0,抵費地,幾何剩餘,0,🟡,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R1-抵費地-2,—,R1,—,0.0,2893.55,87.31,33.15,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,5.38,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,,,,,,,,,,,,,,,,,,,,,,,
R1-抵費地-3,—,R1,—,0.0,2893.55,87.31,33.15,0.0,0.0,0.0,—,—,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,抵費地,幾何剩餘,0,⚠️ < 最小分配,0.0,,,,,,,,,,,,,,,,,,,,,,,,
628-42(1),628-42,R2,b,8.34,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,7.09,0.58,0.11,4.77,4.77,8.8,left,幾何二分法,18,✅,0.4281,0.11,⚠️移出/第1調配順位,不合格,3.5,14.0,,面積 < W×D（必要條件不成立）,不適用,4.77,—,—,—,—,不適用,4.77,0.0,308.1654,—,—,剔除,True,left,其後,—
628-41(1),628-41,R2,b,319.3,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,11.16,20.2,4.08,183.22,183.23,12.88,left,幾何二分法,18,✅,0.4262,4.07,,合格,3.5,14.0,41.5,容納（命中角度 41.500000°）,合格,183.23,76.108416,107.121584,4.084339,4.087351,不適用,183.23,0.0,308.1654,—,—,保留,False,left,第2宗,—
628-27(1),628-27,R2,b,51.32,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,11.82,2.83,0.66,29.62,29.61,13.54,left,幾何二分法,17,✅,0.423,0.66,⚠️移出/第1調配順位,不合格,3.5,14.0,,面積 < W×D（必要條件不成立）,不適用,29.61,—,—,—,—,不適用,29.61,0.0,308.1654,—,—,剔除,True,left,其後,—
628-40(1)+,628-40,R2,b,513.93,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,18.48,20.77,6.68,299.5,299.51,20.23,left,幾何二分法,17,✅,0.4172,6.66,,合格,3.5,14.0,30.0,容納（命中角度 30.000000°）,不適用,299.51,—,—,—,—,不適用,299.51,0.0,308.1654,—,—,保留,False,left,其後,—
628-30(2),628-30,R2,b,150.3,4368.6,100.03,44.47,1.8386,2.0,1.0,否,否,—,44.95,20.49,0.0,2.01,89.97,89.97,22.24,left,幾何二分法,15,✅,0.4014,2.0,⚠️移出/第1調配順位,不合格,3.5,14.0,,掃 363 個角度皆不可容納,不適用,89.97,—,—,—,—,不適用,89.97,0.0,308.1654,—,—,剔除,True,left,其後,—
