街廓,端,候選地號,原地號,真交集(㎡),整筆幾何(㎡),範圍面積(㎡),G估(㎡),門檻(㎡),範圍=門檻?,項三比(≤1),達標,截角邊(range),臨截角,側街邊(range),臨側街,正街角分(0.4),側街分(0.2),跨占分(0.4),總分,選中,原位次(投影序),真G(㎡),指數名次
R4,右,628(1)+,628,225.19,3199.78,225.42,1897.57,225.42,✅,0.999,達標,5.0,4.911,29.556,29.556,0.3929,0.2,0.3996,0.9925,✅,1,2005.36,1
R6,右,628-18(1),628-18,98.02,554.75,299.13,329.4,299.13,✅,0.3277,達標,5.0,0.0,39.98,0.0,0.0,0.0,0.1311,0.1311,✅,6,307.79,2
R6,右,628-38(1),628-38,200.61,204.63,299.13,121.82,299.13,✅,0.6706,未達標,5.0,5.0,39.98,39.439,0.4,0.1973,0.2683,0.8656,,7,111.64,1
R5,左,628-45(1)+,628-45,21.73,636.1,299.73,377.63,299.73,✅,0.0725,達標,5.0,5.0,39.982,0.33,0.4,0.0017,0.029,0.4306,✅,4,346.18,2
R5,左,628-7(2),628-7,4.05,438.11,299.73,260.24,299.73,✅,0.0135,未達標,5.0,0.0,39.982,0.0,0.0,0.0,0.0054,0.0054,,3,236.28,4
R5,左,628-18(2),628-18,271.17,383.62,299.73,227.94,299.73,✅,0.9047,未達標,5.0,0.0,39.982,33.921,0.0,0.1697,0.3619,0.5316,,2,205.49,1
R5,左,628-53(2),628-53,2.79,2.79,299.73,2.15,299.73,✅,0.0093,未達標,5.0,0.0,39.982,5.731,0.0,0.0287,0.0037,0.0324,,1,1.39,3
R2,左,628-42(1),628-42,8.3,8.3,308.17,5.42,308.17,✅,0.0269,未達標,5.0,0.0,41.411,8.521,0.0,0.0412,0.0108,0.0519,,1,4.28,2
R2,左,628-41(1),628-41,260.73,319.23,308.17,189.76,308.17,✅,0.8461,未達標,5.0,5.0,41.411,32.89,0.4,0.1588,0.3384,0.8973,,2,175.95,1
R2,左,628-40(1)+,628-40,14.35,513.79,308.17,305.11,308.17,✅,0.0466,未達標,5.0,0.0,41.411,0.0,0.0,0.0,0.0186,0.0186,,4,286.65,4
R2,左,628-27(1),628-27,24.79,51.37,308.17,30.96,308.17,✅,0.0804,未達標,5.0,0.0,41.411,0.0,0.0,0.0,0.0322,0.0322,,3,26.34,3
R3,右,628-30(3)+,628-30,112.35,1145.26,307.79,679.5,307.79,✅,0.365,達標,4.939,4.939,41.42,13.157,0.4,0.0635,0.146,0.6095,✅,7,633.33,1
R3,右,628-42(2),628-42,147.8,152.74,307.79,91.06,307.79,✅,0.4802,未達標,4.939,0.0,41.42,28.263,0.0,0.1365,0.1921,0.3285,,10,80.07,2
R3,右,628-27(2),628-27,21.71,46.72,307.79,28.2,307.79,✅,0.0705,未達標,4.939,0.0,41.42,0.0,0.0,0.0,0.0282,0.0282,,9,23.34,4
R3,右,628-29(1)+,628-29,25.93,228.95,307.79,136.24,307.79,✅,0.0842,未達標,4.939,0.0,41.42,0.0,0.0,0.0,0.0337,0.0337,,8,120.98,3
R1,左,628-36(1),628-36,86.87,952.01,226.01,564.92,226.01,✅,0.3844,達標,5.0,0.0,29.579,12.417,0.0,0.084,0.1537,0.2377,✅,3,575.73,2
R1,左,628-35(2),628-35,67.45,1045.05,226.01,620.09,226.01,✅,0.2984,達標,5.0,0.0,29.579,8.952,0.0,0.0605,0.1194,0.1799,,1,584.19,3
R1,左,628-37(1),628-37,71.47,353.85,226.01,210.29,226.01,✅,0.3162,未達標,5.0,4.912,29.579,8.209,0.393,0.0555,0.1265,0.575,,2,208.16,1
R1,右,628(5),628,226.88,384.36,227.13,228.38,227.13,✅,0.9989,達標,5.033,4.932,29.843,29.843,0.392,0.2,0.3996,0.9915,✅,5,227.73,1
