街廓,端,候選地號,原地號,真交集(㎡),整筆幾何(㎡),範圍面積(㎡),G估(㎡),門檻(㎡),範圍=門檻?,項三比(≤1),達標,截角邊(range),臨截角,側街邊(range),臨側街,正街角分(0.4),側街分(0.2),跨占分(0.4),總分,原位次(投影序),選中,真G(㎡),指數名次
R4,右,628(1)+,628,111.02,3199.78,111.02,1897.57,111.02,✅,1.0,達標,5.0,4.911,29.556,29.556,0.3929,0.2,0.4,0.9929,1,✅,2005.36,1
R6,右,628-18(1),628-18,16.81,554.75,146.38,329.4,146.38,✅,0.1148,達標,5.0,0.0,39.98,0.0,0.0,0.0,0.0459,0.0459,6,✅,307.79,2
R6,右,628-38(1),628-38,129.13,204.63,146.38,121.82,146.38,✅,0.8822,未達標,5.0,5.0,39.98,39.439,0.4,0.1973,0.3529,0.9502,7,,111.64,1
R5,左,628-18(2),628-18,136.07,383.62,146.5,227.94,146.5,✅,0.9288,達標,5.0,0.0,39.982,33.921,0.0,0.1697,0.3715,0.5412,2,✅,205.49,1
R5,左,628-45(1)+,628-45,7.65,636.1,146.5,377.63,146.5,✅,0.0522,達標,5.0,5.0,39.982,0.33,0.4,0.0017,0.0209,0.4225,4,,346.18,2
R5,左,628-53(2),628-53,2.79,2.79,146.5,2.15,146.5,✅,0.019,未達標,5.0,0.0,39.982,5.731,0.0,0.0287,0.0076,0.0363,1,,1.39,3
R2,左,628-41(1),628-41,136.05,319.23,152.99,189.76,152.99,✅,0.8893,達標,5.0,5.0,41.411,32.89,0.4,0.1588,0.3557,0.9146,2,✅,175.95,1
R2,左,628-42(1),628-42,8.3,8.3,152.99,5.42,152.99,✅,0.0543,未達標,5.0,0.0,41.411,8.521,0.0,0.0412,0.0217,0.0629,1,,4.28,2
R2,左,628-27(1),628-27,8.63,51.37,152.99,30.96,152.99,✅,0.0564,未達標,5.0,0.0,41.411,0.0,0.0,0.0,0.0226,0.0226,3,,26.34,3
R3,右,628-30(3)+,628-30,53.66,1145.26,153.8,679.5,153.8,✅,0.3489,達標,4.939,4.939,41.42,13.157,0.4,0.0635,0.1396,0.6031,7,✅,633.33,1
R3,右,628-42(2),628-42,95.75,152.74,153.8,91.06,153.8,✅,0.6226,未達標,4.939,0.0,41.42,28.263,0.0,0.1365,0.249,0.3855,10,,80.07,2
R3,右,628-27(2),628-27,4.4,46.72,153.8,28.2,153.8,✅,0.0286,未達標,4.939,0.0,41.42,0.0,0.0,0.0,0.0114,0.0114,9,,23.34,3
R1,左,628-37(1),628-37,35.45,353.85,114.94,210.29,114.94,✅,0.3084,達標,5.0,4.912,29.579,8.209,0.393,0.0555,0.1234,0.5718,2,✅,208.16,1
R1,左,628-36(1),628-36,45.42,952.01,114.94,564.92,114.94,✅,0.3952,達標,5.0,0.0,29.579,12.417,0.0,0.084,0.1581,0.242,3,,575.73,2
R1,左,628-35(2),628-35,34.07,1045.05,114.94,620.09,114.94,✅,0.2964,達標,5.0,0.0,29.579,8.952,0.0,0.0605,0.1186,0.1791,1,,584.19,3
R1,右,628(5),628,110.66,384.36,110.68,228.38,110.68,✅,0.9998,達標,5.033,4.932,29.843,29.843,0.392,0.2,0.3999,0.9919,5,✅,227.73,1
