# W-G.9-6 Q1 行覆蓋｜母體=verify\run_verification.py｜總行數=1462｜CAP=1000
# 工具=sys.monitoring LINE（Python 3.13.11）｜run_all rc=1
# ⚠️ 射程：subprocess 子進程不在射程內；行覆蓋不量恆真性
# 已執行行數=519
#
# lineno	count
2	1
19	1
20	1
21	1
23	1
24	1
25	1
26	1
27	1
29	1
32	1
33	1
34	1
35	1
37	1
38	1
39	1
40	1
41	1
42	1
47	1
48	1
49	1
51	1
52	1
55	1
56	55
57	20
58	35
59	30
60	5
61	5
65	1
72	10
73	5
74	5
75	5
76	5
77	60
78	55
80	55
81	55
82	110
83	55
84	55
85	5
86	5
87	5
88	5
91	1
94	1
108	8
109	1
110	1
111	1
112	12
113	11
114	2
115	1
116	1
117	1
118	1
119	1
120	8
123	1
131	8
132	4
135	1
147	4
148	4
149	4
152	4
156	28
157	24
158	4
161	1
164	4
165	4
166	4
168	48
169	44
170	44
172	44
173	44
174	44
175	20
176	44
177	44
178	44
180	4
181	4
182	4
183	4
184	4
188	4
189	4
194	4
197	4
198	4
199	4
200	4
203	1
205	4
206	4
207	4
208	4
209	4
210	4
211	4
212	4
213	28
214	24
215	24
216	24
217	24
218	24
219	24
220	24
221	24
222	24
223	24
224	24
225	24
226	24
228	24
229	24
230	24
231	24
233	24
234	32
236	32
237	64
238	32
239	32
240	32
241	32
242	48
243	24
244	24
245	24
246	24
247	24
248	24
249	24
250	24
252	24
253	24
255	4
258	1
260	1
261	1
262	1
263	7
264	6
265	6
266	6
267	6
268	6
269	14
270	8
271	6
272	6
273	26
274	20
275	6
276	6
277	6
278	12
279	6
280	6
281	6
282	6
283	6
284	6
285	6
288	1
292	1
293	15
294	30
295	15
298	1
300	>=1000
301	8
302	>=1000
303	>=1000
304	127
305	>=1000
306	>=1000
307	>=1000
308	>=1000
311	1
313	6
314	6
315	1
316	1
317	5
318	10
319	5
320	5
321	5
324	1
345	1
348	1
352	4
353	4
354	1
355	4
356	26
357	22
358	22
359	22
360	22
361	22
362	1
363	1
364	21
365	4
381	1
383	1
384	1
386	1
387	1
392	1
394	12
397	1
403	12
404	12
408	12
409	12
414	12
415	267
416	12
417	12
418	12
419	146
420	134
421	2
422	145
423	133
424	1
425	146
426	134
427	2
428	132
429	>=1000
430	>=1000
431	38
432	>=1000
434	>=1000
435	349
437	12
438	12
439	12
440	12
445	12
448	1
452	1
453	1
454	1
455	1
456	1
457	1
458	1
459	1
460	1
461	1
462	1
463	2
464	1
465	1
466	1
467	1
469	1
470	1
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	1
479	1
482	1
496	1
497	1
498	1
499	1
500	1
502	1
503	1
504	1
507	1
508	3
509	2
510	2
511	4
512	2
513	2
515	1
516	3
517	4
518	2
519	2
522	1
523	1
524	2
525	1
526	7
527	6
528	2
529	1
533	2
534	1
535	2
536	1
537	2
538	1
544	135
545	126
546	8
547	8
548	1
553	2
554	1
560	1
561	1
562	12
563	11
564	11
565	127
566	126
567	8
568	118
569	118
570	1
571	1
572	128
573	128
574	2
575	1
576	3
577	2
578	1
580	3
581	4
582	2
583	2
590	2
591	2
592	2
597	4
598	2
599	2
605	4
606	2
607	2
608	2
613	43
614	43
620	2
621	2
622	2
623	4
624	80
625	38
626	38
627	2
628	2
629	4
630	2
631	4
632	1
633	1
634	1
636	4
637	2
638	2
639	2
640	2
642	2
643	2
644	1
645	1
648	2
649	1
654	2
655	2
656	4
657	2
658	2
684	2
685	4
686	2
691	1
692	1
693	1
694	1
695	1
696	1
697	1
699	1
700	2
701	1
702	1
703	2
704	1
705	3
706	1
707	1
708	3
709	2
710	1
712	1
713	2
714	1
717	1
718	1
719	1
720	1
728	1
731	1
784	1
785	1
786	2
787	1
792	1
793	1
794	1
795	1
804	1
805	1
809	1
810	1
811	1
812	1
919	1
920	1
921	2
922	1
927	1
928	1
932	1
933	1
934	1
935	1
936	1
937	1
938	1
939	1
940	1
1008	1
1009	1
1010	1
1014	1
1015	1
1016	1
1017	1
1059	1
1060	1
1061	1
1065	1
1066	1
1067	1
1068	1
1124	1
1125	1
1126	1
1127	1
1131	1
1132	1
1133	1
1134	1
1188	1
1189	1
1190	1
1191	1
1198	1
1199	1
1200	1
1201	1
1290	1
1291	1
1292	1
1298	1
1299	1
1300	1
1381	1
1382	1
1383	2
1384	1
1391	1
1392	1
1395	8
1396	1
1397	6
1398	1
1399	2
1400	1
1435	1
1436	1
1437	2
1438	1
1440	1
1441	1
1442	35
1443	34
1444	34
1445	152
1446	118
1450	34
1451	6
1452	1
1453	1
1455	1
1456	2
1457	1
1458	1
1461	1
