==========================================================================================================================
【K-9-4 BASELINE 臨接】只量不判·不設閘（K-6-A2 段二-1(a)）
判準：每宗必須配到 BASELINE；未達即停機報錯。**本檔不判、不擋、rc 恆 0**
算法源：app.k94_baseline_touch_by_parcel（軸＝app._baseline_normal_axis·與 N-19′ 同軸）
幾何來源：**cut_coords（截角後）**——影響評估見【C】段
==========================================================================================================================
容差 _EPS_TOUCH_FRONT ＝ 0.01 m（與 parcel_min_width_n14 前端臨接共用）

【A·0m】逐宗 BASELINE 臨接量測（母體 68 宗）
--------------------------------------------------------------------------------------------------------------------------
街廓    暫編地號               頂點       偏移min       偏移max     gap(離屁股)     far(最遠)    跨越   臨接
--------------------------------------------------------------------------------------------------------------------------
R1    628(5)              7      0.0000     33.1308     0.000002     33.1308     否   ✅ 已配到
R1    628-34(3)           5      0.0000     33.1319     0.000002     33.1319     否   ✅ 已配到
R1    628-35(2)           5     -0.0000     33.1612     0.000001     33.1612     否   ✅ 已配到
R1    628-36(1)           5      0.0000     33.1393     0.000001     33.1393     否   ✅ 已配到
R1    628-37(1)           6     -0.0000     33.1624     0.000003     33.1624     否   ✅ 已配到
R1    R1-抵費地-1            6     -0.0000     33.1538     0.000000     33.1538     否   ✅ 已配到
R1    R1-抵費地-2            6     -0.0000     29.5405     0.000003     29.5405     否   ✅ 已配到
R2    628-27(1)           5      0.0000     44.8344     0.000000     44.8344     否   ✅ 已配到
R2    628-30(2)           5      0.0000     44.8279     0.000000     44.8279     否   ✅ 已配到
R2    628-31(2)           5      0.0000     44.7590     0.000000     44.7590     否   ✅ 已配到
R2    628-32(2)           5     -0.0000     44.2807     0.000000     44.2807     否   ✅ 已配到
R2    628-34(1)           5      0.0000     44.0898     0.000000     44.0898     否   ✅ 已配到
R2    628-35(1)           6      0.0000     43.9945     0.000000     43.9945     否   ✅ 已配到
R2    628-39(1)           5     -0.0000     44.8091     0.000000     44.8091     否   ✅ 已配到
R2    628-40(1)           6     -0.0000     44.9198     0.000000     44.9198     否   ✅ 已配到
R2    628-41(1)           5     -0.0000     44.8740     0.000000     44.8740     否   ✅ 已配到
