情境,街廓,側別,街角第1宗,範圍最小深度(m),宗最小深度(m),附表最小深(m),k=∂w/∂d,m=-∂D/∂t,c=∂w/∂t,K-9-7分支,寬度_截角前_新帶深(m),寬度_截角後_新帶深(m),寬度_截角前_舊帶深14(m),寬度_截角後_舊帶深14(m),範圍⊆宗,範圍−宗 溢出(㎡),截角接合,頂點最小距(m),局部框最小距(m)
0m,R1,left,628-37(1),29.5051,33.1612,14.00,0.000000,7.338255,-1.003270,①（k ≥ 0·深度不影響）⚠️非線性,—（非邊接合）,2.8261,—（非邊接合）,2.8261,🔴 不成立,5.325538,點接合（Point）,0.000e+00,0.000e+00
0m,R1,right,628(5),33.1294,33.1294,14.00,0.000000,-0.000000,1.003270,①（k ≥ 0·深度不影響）,1.4165,1.4165,6.8469,3.4643,✅ 成立（噪訊 8.49e-11㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00
0m,R2,left,628-40(1),44.8876,44.8750,14.00,-0.075547,0.009750,1.002499,③（k<0·D 隨 t 變）,4.7590,4.6051,7.0916,4.6051,✅ 成立,0.000000,邊接合（LineString）,0.000e+00,0.000e+00
0m,R3,right,—（強制留設抵費地）,41.4195,—,14.00,0.000000,-6.890189,1.004284,①（k ≥ 0·深度不影響）⚠️非線性,—,—,—,—,—,—,—,—,—
0m,R4,left,628(1),33.1240,33.1129,14.00,-0.047599,0.000266,1.001034,③（k<0·D 隨 t 變）,26.9476,26.9476,46.2567,43.2119,✅ 成立（噪訊 1.48e-10㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00
0m,R4,right,628-1(1),33.1000,33.1000,14.00,-0.050087,0.000000,-1.001034,②（k<0·D 常數）,—（非邊接合）,raise:本宗未臨接正面路街線（距 FRONT 最近之頂點 -0.014826,—（非邊接合）,raise:本宗未臨接正面路街線（距 FRONT 最近之頂點 -0.014826,✅ 成立（噪訊 3.05e-10㎡ ≤ 法定粒度）,0.000000,點接合（Point）,0.000e+00,0.000e+00
0m,R5,left,628-7(2),43.6744,43.6744,14.00,-0.075610,-0.000000,1.004284,②（k<0·D 常數）,0.6706,0.6706,6.0869,3.6833,✅ 成立（噪訊 7.64e-11㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00
0m,R6,right,628-18(1),43.5317,43.5317,14.00,0.000000,0.000000,-1.003245,①（k ≥ 0·深度不影響）,1.3999,1.3999,7.2212,3.8197,✅ 成立（噪訊 3.20e-09㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00
3.5m,R1,left,628-36(1),33.1610,33.1567,14.00,0.000000,7.338255,-1.003270,①（k ≥ 0·深度不影響）⚠️非線性,—（非邊接合）,13.9164,—（非邊接合）,13.9164,🔴 不成立,5.325538,點接合（Point）,0.000e+00,0.000e+00
3.5m,R1,right,628(5),33.1294,33.1294,14.00,0.000000,-0.000000,1.003270,①（k ≥ 0·深度不影響）,1.4166,1.4166,6.8470,3.4644,🔴 不成立,5.067912,邊接合（LineString）,0.000e+00,0.000e+00
3.5m,R2,left,—（強制留設抵費地）,44.8535,—,14.00,-0.075547,0.009750,1.002499,③（k<0·D 隨 t 變）,—,—,—,—,—,—,—,—,—
3.5m,R3,right,—（強制留設抵費地）,44.8137,—,14.00,0.000000,-6.890189,1.004284,①（k ≥ 0·深度不影響）⚠️非線性,—,—,—,—,—,—,—,—,—
3.5m,R4,left,628(1),33.1231,33.1129,14.00,-0.047599,0.000266,1.001034,③（k<0·D 隨 t 變）,26.9476,26.9476,46.2567,43.2119,✅ 成立（噪訊 2.96e-10㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00
3.5m,R4,right,628-1(1),33.1000,33.1000,14.00,-0.050087,0.000000,-1.001034,②（k<0·D 常數）,—（非邊接合）,raise:本宗未臨接正面路街線（距 FRONT 最近之頂點 -0.014826,—（非邊接合）,raise:本宗未臨接正面路街線（距 FRONT 最近之頂點 -0.014826,✅ 成立（噪訊 3.45e-10㎡ ≤ 法定粒度）,0.000000,點接合（Point）,0.000e+00,0.000e+00
3.5m,R5,left,—（強制留設抵費地）,43.6744,—,14.00,-0.075610,-0.000000,1.004284,②（k<0·D 常數）,—,—,—,—,—,—,—,—,—
3.5m,R6,right,628-18(1),43.5317,43.5317,14.00,0.000000,0.000000,-1.003245,①（k ≥ 0·深度不影響）,1.3999,1.3999,7.2212,3.8197,✅ 成立（噪訊 3.35e-09㎡ ≤ 法定粒度）,0.000000,邊接合（LineString）,0.000e+00,0.000e+00
