情境,街廓,s_min,s_max,s_p2,近端超界面積,遠端超界面積,街廓面積,左側街,右側街,左forced,右forced,宗,G目標,舊S,新S,舊迄s,新迄s,前移量
0m,R1,-0.3248,87.7155,87.313,5.3255,6.5961,2893.5531,True,True,False,False,,,,,,,
0m,R2,0.2677,100.0274,100.0274,0.0,0.0001,4368.6033,True,False,False,False,,,,,,,
0m,R3,-0.0,96.8032,93.4051,0.0001,75.7782,4206.7996,False,True,False,False,,,,,,,
0m,R4,0.1759,98.717,98.8938,0.0,0.0,3207.8665,True,True,False,False,,,,,,,
0m,R5,0.2685,92.7995,92.7995,0.0,0.0,4150.2149,True,False,False,False,,,,,,,
0m,R6,-3.6068,85.8549,85.8549,85.7064,0.0,3976.3037,False,True,False,False,,,,,,,
0m,R1,,,,,,,,,,,628-37(1),208.72,6.49,6.6587,6.49,6.3338,-0.1562
0m,R1,,,,,,,,,,,628-35(2),600.21,18.1,18.1023,24.59,24.4362,-0.1538
0m,R3,,,,,,,,,,,628(4),44.9,1.03,1.0267,1.03,1.0267,-0.0033
0m,R3,,,,,,,,,,,628-34(2),250.25,5.72,5.717,6.75,6.7437,-0.0063
0m,R3,,,,,,,,,,,628-47(1),143.39,3.27,3.2717,10.02,10.0154,-0.0046
0m,R3,,,,,,,,,,,628-46(1),72.77,1.66,1.6593,11.68,11.6747,-0.0053
0m,R3,,,,,,,,,,,628-48(1),143.4,3.27,3.2675,14.95,14.9422,-0.0078
0m,R3,,,,,,,,,,,628-49(2),79.05,1.8,1.8,16.75,16.7422,-0.0078
0m,R3,,,,,,,,,,,628-32(3),421.41,9.58,9.5806,26.33,26.3228,-0.0072
0m,R6,,,,,,,,,,,628(2),7.37,0.16,1.0577,0.16,-2.5491,-2.7091
0m,R6,,,,,,,,,,,628-1(2),145.82,3.07,3.9701,3.23,1.421,-1.809
0m,R6,,,,,,,,,,,628-23(1),71.03,1.5,1.498,4.73,2.919,-1.811
0m,R6,,,,,,,,,,,628-4(1),692.05,14.75,14.7207,19.48,17.6397,-1.8403
0m,R6,,,,,,,,,,,628-22(1),152.21,3.28,3.2689,22.76,20.9086,-1.8514
0m,R6,,,,,,,,,,,628-21(1),210.48,4.55,4.5393,27.31,25.4479,-1.8621
3.5m,R1,-0.3248,87.7155,87.313,5.3255,6.5961,2893.5531,True,True,False,False,,,,,,,
3.5m,R2,0.2677,100.0274,100.0274,0.0,0.0001,4368.6033,True,False,True,False,,,,,,,
3.5m,R3,-0.0,96.8032,93.4051,0.0001,75.7782,4206.7996,False,True,False,True,,,,,,,
3.5m,R4,0.1759,98.717,98.8938,0.0,0.0,3207.8665,True,True,False,False,,,,,,,
3.5m,R5,0.2685,92.7995,92.7995,0.0,0.0,4150.2149,True,False,True,False,,,,,,,
3.5m,R6,-3.6068,85.8549,85.8549,85.7064,0.0,3976.3037,False,True,False,False,,,,,,,
3.5m,R1,,,,,,,,,,,628-36(1),576.44,17.58,17.7486,17.58,17.4238,-0.1562
3.5m,R3,,,,,,,,,,,628(4),44.9,1.03,1.0267,1.03,1.0267,-0.0033
3.5m,R3,,,,,,,,,,,628-34(2),250.25,5.72,5.717,6.75,6.7437,-0.0063
3.5m,R3,,,,,,,,,,,628-47(1),143.39,3.27,3.2717,10.02,10.0154,-0.0046
3.5m,R3,,,,,,,,,,,628-46(1),72.77,1.66,1.6593,11.68,11.6747,-0.0053
3.5m,R3,,,,,,,,,,,628-48(1),143.4,3.27,3.2675,14.95,14.9422,-0.0078
3.5m,R3,,,,,,,,,,,628-49(2),79.05,1.8,1.8,16.75,16.7422,-0.0078
3.5m,R3,,,,,,,,,,,628-32(3),421.41,9.58,9.5806,26.33,26.3228,-0.0072
3.5m,R6,,,,,,,,,,,628(2),7.37,0.16,1.0577,0.16,-2.5491,-2.7091
3.5m,R6,,,,,,,,,,,628-1(2),145.82,3.07,3.9701,3.23,1.421,-1.809
3.5m,R6,,,,,,,,,,,628-23(1),71.03,1.5,1.498,4.73,2.919,-1.811
3.5m,R6,,,,,,,,,,,628-4(1),692.05,14.75,14.7207,19.48,17.6397,-1.8403
3.5m,R6,,,,,,,,,,,628-22(1),152.21,3.28,3.2689,22.76,20.9086,-1.8514
3.5m,R6,,,,,,,,,,,628-21(1),210.48,4.55,4.5393,27.31,25.4479,-1.8621
