sb,side,k,pos,idx,reg,a,G,geom,dev,cumS,Sraw,S,Srem,smax,bpt,dhat
0.0,L,628-37(1),2,0,350.76,350.8,208.72,208.71,0.01,6.494,6.4943,6.4900,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1039.0,600.21,600.22,0.01,24.597,18.1027,18.1000,80.819,87.313,"(310456.0310,2652005.7114)","(0.68738,-0.72630)"
0.0,L,628-36(1),3,2,947.97,948.0,605.56,605.55,0.01,42.865,18.2676,18.2700,62.716,87.313,"(310468.4744,2651992.5634)","(0.68738,-0.72630)"
0.0,R,628(5),5,4,382.91,382.9,227.72,227.73,0.01,7.250,7.2495,7.2500,44.851,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-34(3),4,3,152.34,152.3,86.01,86.01,0.00,9.846,2.5962,2.6000,37.601,87.715,"(310506.8775,2651951.9858)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,350.8,208.72,208.71,0.01,6.494,6.4943,6.4900,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1039.0,600.21,600.22,0.01,24.597,18.1027,18.1000,80.819,87.313,"(310456.0310,2652005.7114)","(0.68738,-0.72630)"
0.0,R,628(5),5,4,382.91,382.9,227.72,227.72,0.00,7.249,7.2493,7.2500,63.119,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-34(3),4,3,152.34,152.3,86.01,86.00,0.01,9.845,2.5959,2.6000,55.869,87.715,"(310506.8777,2651951.9856)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,948.0,596.26,596.26,0.00,27.840,17.9953,18.0000,53.273,87.715,"(310505.0933,2651953.8710)","(-0.68738,0.72630)"
3.5,L,628-36(1),3,0,947.97,948.0,576.44,576.45,0.01,17.585,17.5846,17.5800,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
3.5,L,628-35(2),1,1,1039.00,1039.0,613.98,613.99,0.01,36.105,18.5206,18.5200,69.728,87.313,"(310463.6542,2651997.6565)","(0.68738,-0.72630)"
3.5,L,628-37(1),2,2,350.76,350.8,224.06,224.06,0.00,42.865,6.7596,6.7600,51.208,87.313,"(310476.3849,2651984.2050)","(0.68738,-0.72630)"
3.5,R,628(5),5,4,382.91,382.9,227.72,227.73,0.01,7.250,7.2495,7.2500,44.851,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
3.5,R,628-34(3),4,3,152.34,152.3,86.01,86.01,0.00,9.846,2.5962,2.6000,37.601,87.715,"(310506.8775,2651951.9857)","(-0.68738,0.72630)"
3.5,L,628-36(1),3,0,947.97,948.0,576.44,576.45,0.01,17.585,17.5846,17.5800,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
3.5,R,628(5),5,4,382.91,382.9,227.72,227.73,0.01,7.249,7.2495,7.2500,70.131,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
3.5,R,628-34(3),4,3,152.34,152.3,86.01,86.00,0.01,9.845,2.5959,2.6000,62.881,87.715,"(310506.8776,2651951.9857)","(-0.68738,0.72630)"
3.5,R,628-37(1),2,2,350.76,350.8,216.35,216.35,0.00,16.375,6.5298,6.5300,60.286,87.715,"(310505.0932,2651953.8711)","(-0.68738,0.72630)"
3.5,R,628-35(2),1,1,1039.00,1039.0,612.64,612.64,0.00,34.863,18.4880,18.4900,53.756,87.715,"(310500.6047,2651958.6137)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,350.8,208.48,208.47,0.01,6.487,6.4869,6.4900,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1039.0,599.47,599.46,0.01,24.567,18.0797,18.0800,80.826,87.313,"(310456.0260,2652005.7167)","(0.68738,-0.72630)"
0.0,L,628-36(1),3,2,947.97,948.0,604.83,604.83,0.00,42.812,18.2458,18.2500,62.746,87.313,"(310468.4535,2651992.5854)","(0.68738,-0.72630)"
0.0,R,628(5),5,4,382.91,382.9,227.46,227.46,0.00,7.242,7.2415,7.2400,44.903,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-34(3),4,3,152.34,152.3,85.90,85.90,0.00,9.834,2.5929,2.5900,37.662,87.715,"(310506.8830,2651951.9799)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,350.8,208.48,208.47,0.01,6.487,6.4869,6.4900,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1039.0,599.47,599.46,0.01,24.567,18.0797,18.0800,80.826,87.313,"(310456.0260,2652005.7167)","(0.68738,-0.72630)"
0.0,R,628(5),5,4,382.91,382.9,227.46,227.45,0.01,7.241,7.2413,7.2400,63.149,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-34(3),4,3,152.34,152.3,85.90,85.90,0.00,9.834,2.5929,2.5900,55.908,87.715,"(310506.8832,2651951.9798)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,948.0,595.52,595.53,0.01,27.807,17.9730,17.9700,53.315,87.715,"(310505.1009,2651953.8630)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,350.8,199.72,199.72,0.00,6.223,6.2231,6.2200,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1039.0,566.76,566.75,0.01,23.316,17.0931,17.0900,81.090,87.313,"(310455.8446,2652005.9083)","(0.68738,-0.72630)"
0.0,L,628-36(1),3,2,947.97,948.0,579.98,579.98,0.00,40.812,17.4957,17.5000,63.997,87.313,"(310467.5941,2651993.4936)","(0.68738,-0.72630)"
0.0,R,628(5),5,4,382.91,382.9,217.89,217.90,0.01,6.953,6.9529,6.9500,46.904,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-34(3),4,3,152.34,152.3,81.30,81.29,0.01,9.407,2.4536,2.4500,39.951,87.715,"(310507.0814,2651951.7703)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,350.8,199.72,199.72,0.00,6.223,6.2231,6.2200,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1039.0,566.76,566.75,0.01,23.316,17.0931,17.0900,81.090,87.313,"(310455.8446,2652005.9083)","(0.68738,-0.72630)"
0.0,R,628(5),5,4,382.91,382.9,217.89,217.90,0.01,6.953,6.9528,6.9500,64.399,87.715,"(310511.8607,2651946.7204)","(-0.68738,0.72630)"
0.0,R,628-34(3),4,3,152.34,152.3,81.30,81.30,0.00,9.407,2.4539,2.4500,57.446,87.715,"(310507.0815,2651951.7702)","(-0.68738,0.72630)"
0.0,R,628-36(1),3,2,947.97,948.0,570.04,570.04,0.00,26.611,17.2040,17.2000,54.992,87.715,"(310505.3947,2651953.5525)","(-0.68738,0.72630)"
0.0,L,628-37(1),2,0,350.76,350.8,208.72,208.71,0.01,6.494,6.4943,6.4900,87.313,87.313,"(310451.5670,2652010.4282)","(0.68738,-0.72630)"
0.0,L,628-35(2),1,1,1039.00,1039.0,600.21,600.22,0.01,24.597,18.1027,18.1000,80.819,87.313,"(310456.0310,2652005.7114)","(0.68738,-0.72630)"
0.0,L,628-36(1),3,2,947.97,948.0,605.56,605.55,0.01,42.865,18.2676,18.2700,62.716,87.313,"(310468.4744,2651992.5634)","(0.68738,-0.72630)"
