情境,暫編地號,街廓,面積,臨正街長,臨左側街長,臨右側街長,非路邊界長(屁股/分區/截角),內部切長,裁決
0m,R1-抵費地-1,R1,580.34,17.51,0.0,0.0,17.51,66.51,臨路
0m,R1-抵費地-2,R1,5.3,0.0,29.63,0.0,0.32,29.64,臨路
0m,R2-抵費地,R2,963.07,21.63,0.0,0.0,21.65,89.25,臨路
0m,R4-抵費地,R4,640.68,19.35,0.0,0.0,19.35,66.28,臨路
0m,R6-抵費地-1,R6,798.71,17.64,0.0,0.0,17.59,90.87,臨路
0m,R6-抵費地-2,R6,85.66,0.0,0.0,0.0,51.29,47.67,不臨路
0m,R5-抵費地,R5,919.62,20.09,0.0,0.0,20.02,91.96,臨路
0m,R3-抵費地-1,R3,847.41,19.14,0.0,0.0,19.12,88.92,臨路
0m,R3-抵費地-2,R3,78.19,0.0,0.0,41.42,3.87,41.84,臨路
3.5m,R1-抵費地-1,R1,580.05,17.5,0.0,0.0,17.5,66.49,臨路
3.5m,R1-抵費地-2,R1,5.3,0.0,29.63,0.0,0.32,29.64,臨路
3.5m,R2-抵費地-1,R2,702.03,15.78,0.0,0.0,15.79,89.19,臨路
3.5m,R2-抵費地-2,R2,233.74,3.49,41.41,0.0,8.65,45.03,臨路
3.5m,R4-抵費地,R4,640.68,19.35,0.0,0.0,19.35,66.28,臨路
3.5m,R6-抵費地-1,R6,798.71,17.64,0.0,0.0,17.59,90.87,臨路
3.5m,R6-抵費地-2,R6,85.66,0.0,0.0,0.0,51.29,47.67,不臨路
3.5m,R5-抵費地-1,R5,680.33,14.82,0.0,0.0,14.77,92.21,臨路
3.5m,R5-抵費地-2,R5,212.79,3.21,39.98,0.0,8.37,43.87,臨路
3.5m,R3-抵費地-1,R3,511.7,11.57,0.0,0.0,11.56,88.83,臨路
3.5m,R3-抵費地-2,R3,389.8,3.57,0.0,41.42,15.46,44.96,臨路
