情境,暫編地號,街廓,面積,沿街s,長寬比,緊湊度
0m,R1-抵費地-1,R1,580.34,0.5,2.0,0.71
0m,R1-抵費地-2,R1,5.3,0.02,91.8,0.02
0m,R2-抵費地,R2,963.07,0.47,2.1,0.69
0m,R4-抵費地,R4,640.68,0.72,1.8,0.73
0m,R6-抵費地-1,R6,798.71,0.54,2.6,0.63
0m,R6-抵費地-2,R6,85.66,0.01,13.3,0.11
0m,R5-抵費地,R5,919.62,0.53,2.4,0.66
0m,R3-抵費地-1,R3,847.41,0.46,2.4,0.66
0m,R3-抵費地-2,R3,78.19,0.99,12.2,0.13
3.5m,R1-抵費地-1,R1,580.05,0.67,2.0,0.71
3.5m,R1-抵費地-2,R1,5.3,0.02,91.8,0.02
3.5m,R2-抵費地-1,R2,702.03,0.5,2.9,0.6
3.5m,R2-抵費地-2,R2,233.74,0.03,6.7,0.3
3.5m,R4-抵費地,R4,640.68,0.72,1.8,0.73
3.5m,R6-抵費地-1,R6,798.71,0.54,2.6,0.63
3.5m,R6-抵費地-2,R6,85.66,0.01,13.3,0.11
3.5m,R5-抵費地-1,R5,680.33,0.56,3.2,0.58
3.5m,R5-抵費地-2,R5,212.79,0.02,6.9,0.29
3.5m,R3-抵費地-1,R3,511.7,0.42,3.9,0.51
3.5m,R3-抵費地-2,R3,389.8,0.95,4.3,0.44
