情境,所屬街廓,推進側別,暫編地號,ghost,分類,欄,live,harness,absdiff
3.5m,R4,left,628(1),否,⑤其他,宗地寬度(m),46.87,47.05,0.18
3.5m,R4,left,628(1),否,⑤其他,W(m),46.87,47.05,0.18
3.5m,R4,left,628(1),否,⑤其他,G(㎡),1521.05,1527.02,5.97
3.5m,R4,left,628(1),否,①迭代/收斂,迭代次數,17,16,1
3.5m,R4,left,628(1),否,⑤其他,累積S(m),46.92,47.1,0.18
3.5m,R4,left,628(1),否,⑤其他,A 地價比,1.7364,1.7206,0.0158
3.5m,R4,left,628(1),否,⑤其他,負擔比率,0.3737,0.3712,0.0025
3.5m,R4,left,628(1),否,⑤其他,S(m),46.92,47.1,0.18
3.5m,R4,left,628(1),否,②area_geom,幾何面積(㎡),1521.05,1527.02,5.97
3.5m,R6,left,628(2),否,⑤其他,G(㎡),7.37,7.1,0.27
3.5m,R6,left,628(2),否,①迭代/收斂,迭代次數,17,15,2
3.5m,R6,left,628(2),否,⑤其他,A 地價比,1.5628,1.7206,0.1578
3.5m,R6,left,628(2),否,⑤其他,負擔比率,0.3586,0.3821,0.0235
3.5m,R6,left,628(2),否,②area_geom,幾何面積(㎡),7.38,7.1,0.28
3.5m,R5,right,628(3),否,⑤其他,宗地寬度(m),3.11,3.18,0.07
3.5m,R5,right,628(3),否,⑤其他,G(㎡),148.72,152.3,3.58
3.5m,R5,right,628(3),否,①迭代/收斂,迭代次數,17,11,6
3.5m,R5,right,628(3),否,⑤其他,累積S(m),3.12,3.19,0.07
3.5m,R5,right,628(3),否,⑤其他,A 地價比,1.6496,1.5486,0.101
3.5m,R5,right,628(3),否,⑤其他,負擔比率,0.3716,0.3565,0.0151
3.5m,R5,right,628(3),否,⑤其他,S(m),3.12,3.19,0.07
3.5m,R5,right,628(3),否,②area_geom,幾何面積(㎡),148.71,152.29,3.58
3.5m,R3,left,628(4),否,⑤其他,宗地寬度(m),1.03,1.05,0.02
3.5m,R3,left,628(4),否,⑤其他,G(㎡),44.9,45.98,1.08
3.5m,R3,left,628(4),否,①迭代/收斂,迭代次數,17,15,2
3.5m,R3,left,628(4),否,⑤其他,累積S(m),1.03,1.05,0.02
3.5m,R3,left,628(4),否,⑤其他,A 地價比,1.6496,1.5486,0.101
